query,NOGs,COG_category,HMM_description
WP_004043680.1,1251F@NOG,M,Inherit from NOG: ribonuclease BN
WP_004043681.1,10ZTR@NOG,NA,NA
WP_004043682.1,COG0714@NOG,S,methanol dehydrogenase regulatory protein
WP_004043683.1,COG1721@NOG,S,Protein of unknown function DUF58
WP_004043688.1,COG5485@NOG,S,SnoaL-like polyketide cyclase
WP_004043744.1,0YEZV@NOG,T,RIO1 family
WP_004043862.1,COG1208@NOG,M,Nucleotidyl transferase
WP_004043863.1,COG3357@NOG,K,transcriptional regulator containing an HTH domain fused to a Zn-ribbon
WP_004043914.1,COG1028@NOG,I,Short-chain dehydrogenase reductase SDR
WP_004043915.1,COG1826@NOG,U,"twin-arginine translocation protein, TatA E family subunit"
WP_004044018.1,COG1522@NOG,K,"transcriptional regulator, AsnC family"
WP_004044035.1,COG0526@NOG,O,Thioredoxin
WP_004044072.1,0ZWTH@NOG,Q,Met-10+ like-protein
WP_004044271.1,11171@NOG,NA,NA
WP_004044398.1,COG0395@NOG,G,binding-protein-dependent transport systems inner membrane component
WP_004044399.1,COG1175@NOG,G,binding-protein-dependent transport systems inner membrane component
WP_004044506.1,COG3440@NOG,V,"Inherit from NOG: ubiquitin-like with PHD and ring finger domains 2, E3 ubiquitin protein ligase"
WP_004044531.1,COG2450@NOG,D,Protein of unknown function (DUF552)
WP_004044532.1,COG3342@NOG,S,Family of unknown function (DUF1028)
WP_004044671.1,COG1547@NOG,S,Domain of unknown function (DUF309)
WP_004044777.1,111TP@NOG,L,Inherit from NOG: Sulfatase
WP_004045104.1,COG1520@NOG,M,Pyrrolo-quinoline quinone
WP_004045269.1,COG1041@NOG,L,RNA methylase
WP_004045270.1,0Y2H8@NOG,S,Inherit from NOG: Domain of unknown function (DUF1508)
WP_004045282.1,COG2076@NOG,P,quaternary ammonium compound-resistance protein
WP_004045284.1,COG1591@NOG,L,holliday junction resolvase
WP_004045334.1,COG1241@NOG,L,mcm family
WP_004045351.1,COG1295@NOG,L,ribonuclease BN
WP_004045434.1,COG1474@NOG,L,Involved in regulation of DNA replication (By similarity)
WP_004045462.1,COG0601@NOG,P,binding-protein-dependent transport systems inner membrane component
WP_004065787.1,0YX3A@NOG,C,Inherit from arCOG: Small CPxCG-related zinc finger protein
WP_013035036.1,COG0361@NOG,J,Seems to be required for maximal rate of protein biosynthesis. Enhances ribosome dissociation into subunits and stabilizes the binding of the initiator Met-tRNA(I) to 40 S ribosomal subunits (By similarity)
WP_013035046.1,COG3385@NOG,L,Transposase
WP_013035056.1,COG0733@NOG,P,Sodium:neurotransmitter symporter family
WP_013035091.1,111ND@NOG,NA,NA
WP_013035099.1,COG0747@NOG,E,"Oligopeptide dipeptide ABC transporter, peptide-binding protein"
WP_013035189.1,COG4608@NOG,E,"ABC transporter, ATP-binding protein"
WP_013035196.1,COG3385@NOG,L,Transposase
WP_013035217.1,COG0444@NOG,"E, P",Abc transporter
WP_013035225.1,COG1474@NOG,L,Involved in regulation of DNA replication (By similarity)
WP_013035252.1,COG1474@NOG,L,Orc1-type DNA replication protein
WP_013035308.1,124VT@NOG,I,Phosphoesterase PA-phosphatase related
WP_013035385.1,COG4923@NOG,S,Protein of unknown function (DUF429)
WP_013035537.1,110FC@NOG,NA,NA
WP_013035676.1,1110P@NOG,NA,NA
WP_013035682.1,11UJV@NOG,L,Transposase (ISH5)
WP_013035688.1,COG3039@NOG,L,Transposase
WP_013035693.1,COG1123@NOG,E,ABC transporter
WP_013035721.1,COG0735@NOG,P,Ferric uptake
WP_013035729.1,COG0665@NOG,E,FAD dependent oxidoreductase
WP_013035730.1,COG0665@NOG,E,sarcosine oxidase (EC 1.5.3.1)
WP_013035731.1,COG1173@NOG,P,ABC transporter
WP_013035734.1,0XQQ7@NOG,K,Helicase conserved C-terminal domain
WP_049914834.1,COG1961@NOG,L,resolvase
WP_049914915.1,COG1378@NOG,K,"transcriptional regulator, TrmB"
WP_049941486.1,COG0500@NOG,Q,Inherit from eurNOG: Methyltransferase domain
WP_049941497.1,COG2259@NOG,S,DoxX family
WP_081442889.1,COG1479@NOG,S,Protein of unknown function (DUF1524)
