hbt&hvol&hmed,hbt&hmed,hbt&hvol,hvol&hmed,hbt,hvol,hmed
0,8,3,3,149,47,39
0,3,3,0,154,50,47
1,5,9,2,145,41,42
0,5,10,1,145,42,44
0,9,7,1,144,45,40
0,11,3,3,146,47,36
0,4,6,2,150,45,44
1,5,7,2,147,43,42
0,2,5,5,153,43,43
1,5,6,0,148,46,44
0,7,5,1,148,47,42
1,3,3,0,153,49,46
0,8,3,1,149,49,41
0,5,5,2,150,46,43
0,7,6,1,147,46,42
0,5,11,5,144,37,40
0,9,6,0,145,47,41
0,7,3,1,150,49,42
0,8,9,1,143,43,41
0,6,7,3,147,43,41
0,5,5,0,150,48,45
0,4,7,2,149,44,44
0,6,4,2,150,47,42
0,5,4,3,151,46,42
1,4,4,1,151,47,44
0,7,6,0,147,47,43
0,8,6,0,146,47,42
0,5,9,3,146,41,42
0,5,9,4,146,40,41
0,8,5,3,147,45,39
1,6,9,2,144,41,41
0,4,7,3,149,43,43
0,6,6,2,148,45,42
0,6,5,2,149,46,42
0,7,5,3,148,45,40
0,9,4,1,147,48,40
0,6,3,1,151,49,43
1,6,7,1,146,44,42
0,3,7,3,150,43,44
2,4,1,2,153,48,42
0,5,6,3,149,44,42
0,5,2,1,153,50,44
0,3,2,2,155,49,45
0,5,12,2,143,39,43
0,9,6,1,145,46,40
0,3,2,0,155,51,47
1,5,5,1,149,46,43
0,3,8,2,149,43,45
0,8,1,3,151,49,39
0,6,5,3,149,45,41
3,5,3,2,149,45,40
0,11,8,1,141,44,38
0,9,7,1,144,45,40
0,4,12,2,144,39,44
0,5,5,2,150,46,43
0,10,8,1,142,44,39
0,9,7,0,144,46,41
1,8,8,0,143,44,41
0,6,8,2,146,43,42
0,7,5,3,148,45,40
0,5,6,0,149,47,45
0,10,4,3,146,46,37
0,11,6,2,143,45,37
0,8,3,2,149,48,40
0,9,9,1,142,43,40
1,6,7,2,146,43,41
0,8,5,4,147,44,38
0,10,3,1,147,49,39
0,4,7,1,149,45,45
0,7,6,0,147,47,43
0,3,7,1,150,45,46
0,9,11,0,140,42,41
0,5,5,3,150,45,42
0,9,6,1,145,46,40
0,6,3,1,151,49,43
0,9,9,4,142,40,37
0,5,9,5,146,39,40
0,7,7,1,146,45,42
0,9,4,1,147,48,40
0,7,7,1,146,45,42
1,2,6,3,151,43,44
0,9,6,0,145,47,41
0,7,9,6,144,38,37
0,6,7,1,147,45,43
0,4,5,3,151,45,43
0,6,4,2,150,47,42
0,2,4,4,154,45,44
0,3,4,1,153,48,46
0,4,5,1,151,47,45
0,8,9,0,143,44,42
1,3,4,2,152,46,44
0,8,9,5,143,39,37
1,4,4,1,151,47,44
0,11,3,3,146,47,36
1,2,8,3,149,41,44
0,1,6,1,153,46,48
1,7,6,3,146,43,39
0,8,4,2,148,47,40
0,4,6,2,150,45,44
0,3,6,3,151,44,44
0,4,6,3,150,44,43
0,10,6,2,144,45,38
1,4,5,2,150,45,43
0,8,5,2,147,46,40
0,4,9,3,147,41,43
0,3,6,3,151,44,44
0,9,4,0,147,49,41
0,7,3,1,150,49,42
0,4,4,2,152,47,44
1,4,6,2,149,44,43
0,4,7,1,149,45,45
0,6,8,1,146,44,43
0,5,8,0,147,45,45
0,9,6,3,145,44,38
0,6,4,0,150,49,44
0,12,9,5,139,39,33
0,5,6,4,149,43,41
0,8,4,1,148,48,41
1,3,3,0,153,49,46
0,9,6,0,145,47,41
0,8,8,1,144,44,41
0,11,4,0,145,49,39
0,9,4,1,147,48,40
0,7,2,0,151,51,43
0,9,6,2,145,45,39
1,4,8,1,147,43,44
0,4,1,2,155,50,44
1,3,5,2,151,45,44
0,7,5,3,148,45,40
0,8,6,1,146,46,41
0,8,6,4,146,43,38
1,3,4,2,152,46,44
0,7,12,0,141,41,43
0,8,8,1,144,44,41
0,6,7,2,147,44,42
0,8,6,3,146,44,39
0,7,7,1,146,45,42
1,10,4,1,145,47,38
0,2,8,1,150,44,47
0,4,8,0,148,45,46
0,4,9,4,147,40,42
0,11,4,0,145,49,39
0,2,5,2,153,46,46
2,5,4,1,149,46,42
0,8,1,2,151,50,40
0,6,6,2,148,45,42
0,6,4,1,150,48,43
0,8,11,0,141,42,42
0,8,10,1,142,42,41
1,3,5,1,151,46,45
0,12,8,3,140,42,35
0,4,8,1,148,44,45
0,2,5,1,153,47,47
0,5,11,1,144,41,44
0,6,6,2,148,45,42
0,5,2,0,153,51,45
0,7,5,2,148,46,41
0,4,5,2,151,46,44
1,4,3,4,152,45,41
0,6,8,1,146,44,43
0,7,8,2,145,43,41
0,7,8,2,145,43,41
0,4,4,2,152,47,44
1,4,6,2,149,44,43
1,7,3,2,149,47,40
1,5,7,3,147,42,41
0,7,9,0,144,44,43
0,3,7,2,150,44,45
0,9,8,0,143,45,41
0,5,6,3,149,44,42
0,7,6,1,147,46,42
1,2,10,2,147,40,45
0,8,5,0,147,48,42
0,3,5,1,152,47,46
0,5,9,0,146,44,45
1,8,5,2,146,45,39
0,4,2,4,154,47,42
2,4,6,0,148,45,44
0,5,8,2,147,43,43
1,4,6,2,149,44,43
0,6,5,2,149,46,42
0,1,11,1,148,41,48
1,10,8,1,141,43,38
0,2,10,0,148,43,48
0,9,5,2,146,46,39
0,4,6,1,150,46,45
0,6,5,1,149,47,43
1,7,8,0,144,44,42
0,6,6,1,148,46,43
0,5,4,2,151,47,43
0,7,7,1,146,45,42
0,11,3,0,146,50,39
1,4,4,2,151,46,43
0,9,8,2,143,43,39
1,5,6,2,148,44,42
0,10,8,2,142,43,38
0,6,4,3,150,46,41
0,3,8,2,149,43,45
0,5,4,2,151,47,43
0,8,5,0,147,48,42
1,4,5,1,150,46,44
0,2,9,1,149,43,47
0,5,7,0,148,46,45
1,5,5,1,149,46,43
0,4,6,1,150,46,45
0,1,6,1,153,46,48
1,4,5,3,150,44,42
1,5,5,0,149,47,44
0,7,7,0,146,46,43
0,6,8,4,146,41,40
0,8,6,3,146,44,39
0,6,7,2,147,44,42
1,11,6,2,142,44,36
0,6,9,1,145,43,43
1,5,9,5,145,38,39
0,14,6,0,140,47,36
1,7,2,1,150,49,41
0,10,2,3,148,48,37
0,7,6,4,147,43,39
0,7,4,3,149,46,40
0,5,9,0,146,44,45
0,4,6,1,150,46,45
0,7,11,3,142,39,40
0,8,8,2,144,43,40
0,5,2,3,153,48,42
0,2,7,2,151,44,46
2,3,6,0,149,45,45
0,2,1,3,157,49,45
0,6,6,1,148,46,43
0,4,5,4,151,44,42
0,11,5,2,144,46,37
0,5,9,1,146,43,44
0,4,7,1,149,45,45
0,7,7,2,146,44,41
0,9,6,4,145,43,37
1,9,6,2,144,44,38
0,5,6,3,149,44,42
1,7,8,0,144,44,42
0,5,1,4,154,48,41
0,5,6,1,149,46,44
0,3,5,0,152,48,47
0,10,5,3,145,45,37
1,4,5,5,150,42,40
0,6,5,3,149,45,41
0,4,5,3,151,45,43
0,4,5,3,151,45,43
1,3,8,0,148,44,46
0,5,10,2,145,41,43
0,6,6,1,148,46,43
0,9,10,0,141,43,41
0,5,8,1,147,44,44
0,6,5,0,149,48,44
1,7,3,1,149,48,41
0,11,8,3,141,42,36
0,4,14,0,142,39,46
0,5,8,1,147,44,44
0,10,3,1,147,49,39
1,4,3,2,152,47,43
0,7,5,0,148,48,43
0,7,12,1,141,40,42
0,11,8,2,141,43,37
0,7,6,2,147,45,41
0,6,6,3,148,44,41
0,10,14,2,136,37,38
0,7,5,2,148,46,41
0,5,4,0,151,49,45
0,7,8,2,145,43,41
1,4,5,1,150,46,44
0,4,6,1,150,46,45
0,6,3,3,151,47,41
0,4,10,0,146,43,46
0,7,6,0,147,47,43
0,9,10,2,141,41,39
0,3,3,1,154,49,46
0,4,6,3,150,44,43
0,8,5,0,147,48,42
0,3,7,4,150,42,43
0,3,3,6,154,44,41
0,4,12,2,144,39,44
0,10,5,1,145,47,39
0,7,7,1,146,45,42
1,6,5,2,148,45,41
0,6,8,3,146,42,41
0,9,8,0,143,45,41
0,3,5,3,152,45,44
1,5,4,1,150,47,43
0,10,4,5,146,44,35
0,7,6,0,147,47,43
0,4,7,2,149,44,44
0,3,9,2,148,42,45
0,6,7,2,147,44,42
0,7,4,2,149,47,41
0,2,6,1,152,46,47
1,4,3,0,152,49,45
0,7,7,3,146,43,40
0,8,8,3,144,42,39
1,8,4,1,147,47,40
0,4,4,0,152,49,46
0,7,7,3,146,43,40
1,5,5,1,149,46,43
0,5,7,1,148,45,44
0,7,6,1,147,46,42
0,7,9,2,144,42,41
0,6,5,1,149,47,43
2,3,8,5,147,38,40
0,4,3,1,153,49,45
0,8,8,0,144,45,42
1,4,3,1,152,48,44
2,3,12,3,143,36,42
0,8,2,3,150,48,39
0,4,3,2,153,48,44
1,6,6,1,147,45,42
0,11,4,2,145,47,37
0,3,5,4,152,44,43
0,4,8,2,148,43,44
0,7,4,2,149,47,41
0,3,7,1,150,45,46
0,1,5,2,154,46,47
1,4,4,2,151,46,43
0,6,4,1,150,48,43
0,11,4,3,145,46,36
0,9,7,1,144,45,40
1,5,8,3,146,41,41
0,7,3,3,150,47,40
0,4,6,5,150,42,41
0,6,8,2,146,43,42
0,8,7,1,145,45,41
0,5,7,0,148,46,45
0,4,9,1,147,43,45
0,8,4,1,148,48,41
0,5,9,2,146,42,43
0,12,5,2,143,46,36
0,8,4,1,148,48,41
0,10,6,2,144,45,38
0,5,10,2,145,41,43
0,6,9,4,145,40,40
2,7,3,3,148,45,38
0,5,9,3,146,41,42
0,5,11,1,144,41,44
0,11,8,0,141,45,39
0,6,8,1,146,44,43
0,12,3,4,145,46,34
0,2,8,0,150,45,48
1,3,6,1,150,45,45
0,5,9,0,146,44,45
0,10,6,2,144,45,38
0,4,8,1,148,44,45
0,5,3,3,152,47,42
0,5,9,0,146,44,45
0,5,12,2,143,39,43
0,2,6,1,152,46,47
0,9,3,5,148,45,36
0,1,4,2,155,47,47
0,4,9,5,147,39,41
0,7,4,1,149,48,42
0,9,6,2,145,45,39
0,5,8,2,147,43,43
2,4,6,3,148,42,41
0,5,7,1,148,45,44
0,6,3,4,151,46,40
0,9,6,1,145,46,40
0,2,3,3,155,47,45
1,5,5,0,149,47,44
0,9,8,2,143,43,39
0,4,2,1,154,50,45
1,4,5,1,150,46,44
0,4,10,4,146,39,42
0,9,11,2,140,40,39
0,6,6,2,148,45,42
1,5,4,3,150,45,41
0,4,4,3,152,46,43
0,6,12,1,142,40,43
0,2,5,1,153,47,47
2,4,8,4,146,39,40
0,3,7,1,150,45,46
1,4,10,0,145,42,45
1,7,5,1,147,46,41
0,2,5,0,153,48,48
1,5,6,3,148,43,41
1,5,6,0,148,46,44
0,9,4,3,147,46,38
1,5,6,1,148,45,43
0,6,8,1,146,44,43
2,3,7,5,148,39,40
0,6,9,2,145,42,42
0,6,6,4,148,43,40
0,10,9,3,141,41,37
0,4,6,4,150,43,42
1,6,4,0,149,48,43
0,7,5,3,148,45,40
0,4,6,3,150,44,43
0,6,4,4,150,45,40
1,6,4,1,149,47,42
1,6,9,0,144,43,43
0,5,11,1,144,41,44
0,3,7,0,150,46,47
1,10,6,2,143,44,37
0,5,9,0,146,44,45
0,1,4,0,155,49,49
0,6,4,1,150,48,43
0,7,2,2,151,49,41
0,2,3,7,155,43,41
0,7,2,2,151,49,41
0,6,6,3,148,44,41
0,5,6,2,149,45,43
1,1,8,4,150,40,44
1,3,5,3,151,44,43
2,6,5,5,147,41,37
1,8,5,1,146,46,40
0,7,4,1,149,48,42
0,9,5,1,146,47,40
1,7,4,2,148,46,40
1,6,6,3,147,43,40
1,4,4,0,151,48,45
1,5,7,2,147,43,42
0,9,10,2,141,41,39
0,4,11,1,145,41,45
2,5,2,1,151,48,42
1,6,6,4,147,42,39
1,3,5,0,151,47,46
0,5,8,1,147,44,44
1,6,5,0,148,47,43
1,6,5,2,148,45,41
0,7,7,2,146,44,41
1,6,8,3,145,41,40
2,3,6,2,149,43,43
0,3,7,2,150,44,45
0,3,10,3,147,40,44
0,8,8,1,144,44,41
0,4,7,3,149,43,43
0,3,9,2,148,42,45
1,7,7,1,145,44,41
0,5,7,2,148,44,43
0,6,7,0,147,46,44
0,5,5,0,150,48,45
1,2,9,1,148,42,46
0,5,5,3,150,45,42
0,8,7,3,145,43,39
0,5,4,1,151,48,44
0,7,5,3,148,45,40
0,9,9,2,142,42,39
0,8,4,2,148,47,40
0,4,8,2,148,43,44
1,8,5,1,146,46,40
1,9,8,2,142,42,38
1,10,6,2,143,44,37
0,4,3,0,153,50,46
0,4,7,1,149,45,45
0,10,6,1,144,46,39
0,4,3,5,153,45,41
0,11,4,3,145,46,36
1,6,6,1,147,45,42
0,5,4,2,151,47,43
0,5,7,1,148,45,44
0,3,8,2,149,43,45
0,5,7,1,148,45,44
0,5,7,3,148,43,42
1,6,2,2,151,48,41
0,7,5,1,148,47,42
0,6,3,2,151,48,42
0,4,10,4,146,39,42
0,7,6,0,147,47,43
1,8,4,3,147,45,38
0,4,8,1,148,44,45
0,10,6,1,144,46,39
0,5,2,2,153,49,43
0,2,9,2,149,42,46
0,4,6,3,150,44,43
0,5,9,1,146,43,44
0,6,6,0,148,47,44
0,2,8,2,150,43,46
0,3,4,2,153,47,45
0,9,3,0,148,50,41
1,3,6,1,150,45,45
0,6,16,1,138,36,43
0,4,5,1,151,47,45
0,5,10,3,145,40,42
0,5,5,0,150,48,45
0,9,8,3,143,42,38
0,6,7,3,147,43,41
1,5,7,0,147,45,44
0,8,7,0,145,46,42
1,8,3,2,148,47,39
1,6,6,2,147,44,41
0,6,4,0,150,49,44
0,6,5,0,149,48,44
0,6,5,3,149,45,41
0,6,4,1,150,48,43
0,5,4,3,151,46,42
0,5,9,2,146,42,43
0,3,3,2,154,48,45
1,7,1,2,151,49,40
0,9,10,1,141,42,40
0,9,7,1,144,45,40
0,11,1,3,148,49,36
0,6,6,3,148,44,41
2,3,8,1,147,42,44
1,6,1,1,152,50,42
0,5,4,1,151,48,44
0,9,4,5,147,44,36
1,6,4,3,149,45,40
0,9,7,2,144,44,39
1,7,9,2,143,41,40
0,5,4,2,151,47,43
0,6,4,3,150,46,41
0,7,8,0,145,45,43
1,9,5,3,145,44,37
0,10,5,1,145,47,39
0,4,5,2,151,46,44
0,5,7,2,148,44,43
0,6,5,1,149,47,43
0,6,11,0,143,42,44
0,7,9,3,144,41,40
0,7,6,2,147,45,41
1,6,4,1,149,47,42
0,7,7,0,146,46,43
0,4,6,1,150,46,45
0,6,7,1,147,45,43
0,5,10,1,145,42,44
0,5,5,3,150,45,42
0,5,13,1,142,39,44
0,8,7,3,145,43,39
0,4,6,1,150,46,45
1,10,5,3,144,44,36
0,8,7,0,145,46,42
0,7,6,0,147,47,43
0,7,6,2,147,45,41
0,3,8,1,149,44,46
1,9,3,0,147,49,40
0,9,7,2,144,44,39
0,8,12,0,140,41,42
0,7,5,1,148,47,42
0,3,4,1,153,48,46
0,3,4,2,153,47,45
1,6,7,2,146,43,41
0,6,7,1,147,45,43
0,8,11,1,141,41,41
0,3,5,6,152,42,41
1,5,5,3,149,44,41
0,4,7,1,149,45,45
0,5,6,1,149,46,44
0,6,8,2,146,43,42
0,5,4,1,151,48,44
0,3,7,1,150,45,46
0,7,3,1,150,49,42
1,7,10,0,142,42,42
0,9,8,3,143,42,38
0,9,4,2,147,47,39
0,4,4,2,152,47,44
0,4,7,2,149,44,44
0,5,9,0,146,44,45
1,9,12,3,138,37,37
0,7,5,1,148,47,42
0,5,4,1,151,48,44
0,3,4,2,153,47,45
1,5,7,3,147,42,41
0,5,1,3,154,49,42
0,6,5,0,149,48,44
0,5,10,3,145,40,42
0,6,7,5,147,41,39
0,5,6,1,149,46,44
3,4,9,0,144,41,43
0,3,4,3,153,46,44
0,6,5,0,149,48,44
0,10,6,0,144,47,40
1,5,6,2,148,44,42
0,6,6,2,148,45,42
0,7,6,3,147,44,40
1,5,8,0,146,44,44
0,8,7,2,145,44,40
0,7,2,1,151,50,42
0,6,8,2,146,43,42
0,8,5,0,147,48,42
1,4,7,3,148,42,42
1,2,7,4,150,41,43
0,7,7,2,146,44,41
1,5,4,1,150,47,43
1,7,8,0,144,44,42
0,7,10,3,143,40,40
1,3,7,0,149,45,46
0,5,4,2,151,47,43
0,4,5,1,151,47,45
0,7,7,0,146,46,43
0,7,3,0,150,50,43
0,4,4,3,152,46,43
0,13,13,1,134,39,36
1,3,4,0,152,48,46
0,12,8,1,140,44,37
1,6,4,1,149,47,42
0,4,9,2,147,42,44
0,3,11,3,146,39,44
0,8,5,2,147,46,40
0,9,5,2,146,46,39
0,7,10,1,143,42,42
0,8,5,2,147,46,40
0,5,6,1,149,46,44
0,4,11,1,145,41,45
0,7,5,1,148,47,42
0,4,7,1,149,45,45
0,5,9,1,146,43,44
0,5,7,2,148,44,43
0,4,4,2,152,47,44
0,6,10,3,144,40,41
1,10,6,2,143,44,37
1,4,8,4,147,40,41
1,9,10,2,140,40,38
0,7,8,3,145,42,40
1,5,5,1,149,46,43
0,10,2,3,148,48,37
0,1,2,2,157,49,47
1,4,8,0,147,44,45
1,9,6,6,144,40,34
0,11,4,1,145,48,38
0,7,10,2,143,41,41
0,5,6,2,149,45,43
0,5,3,1,152,49,44
0,7,8,2,145,43,41
0,9,6,3,145,44,38
0,7,3,4,150,46,39
1,3,6,0,150,46,46
0,5,10,4,145,39,41
2,3,10,3,145,38,42
1,5,10,1,144,41,43
0,3,4,3,153,46,44
0,4,6,2,150,45,44
0,5,8,3,147,42,42
0,6,5,3,149,45,41
1,5,9,1,145,42,43
0,4,5,2,151,46,44
0,5,3,3,152,47,42
0,4,8,1,148,44,45
0,5,6,1,149,46,44
0,7,10,2,143,41,41
0,3,2,1,155,50,46
0,6,9,0,145,44,44
0,4,6,1,150,46,45
1,4,5,3,150,44,42
0,4,8,2,148,43,44
1,3,4,4,152,44,42
0,1,7,2,152,44,47
0,9,4,3,147,46,38
0,4,6,3,150,44,43
0,7,5,2,148,46,41
1,8,7,3,144,42,38
0,7,4,2,149,47,41
1,9,5,1,145,46,39
0,3,7,2,150,44,45
0,6,10,1,144,42,43
0,9,2,4,149,47,37
0,6,8,4,146,41,40
1,7,8,2,144,42,40
0,5,5,2,150,46,43
0,9,6,0,145,47,41
0,3,7,3,150,43,44
0,7,3,1,150,49,42
1,5,2,1,152,49,43
0,9,5,2,146,46,39
0,3,5,3,152,45,44
0,5,7,3,148,43,42
0,3,6,2,151,45,45
0,3,9,1,148,43,46
1,7,6,0,146,46,42
2,4,10,2,144,39,42
1,6,4,4,149,44,39
0,6,6,1,148,46,43
0,7,9,2,144,42,41
0,4,4,0,152,49,46
0,7,4,1,149,48,42
0,9,7,2,144,44,39
1,5,2,1,152,49,43
0,7,8,1,145,44,42
0,8,7,2,145,44,40
0,6,5,0,149,48,44
0,4,2,1,154,50,45
1,4,4,2,151,46,43
0,7,9,2,144,42,41
1,7,7,2,145,43,40
0,10,11,0,139,42,40
0,7,9,2,144,42,41
0,5,8,0,147,45,45
0,7,8,0,145,45,43
1,7,4,2,148,46,40
0,4,8,0,148,45,46
0,4,4,3,152,46,43
0,7,6,1,147,46,42
0,5,7,2,148,44,43
0,2,6,4,152,43,44
0,5,7,4,148,42,41
0,6,5,0,149,48,44
0,6,4,3,150,46,41
1,4,5,1,150,46,44
0,4,5,1,151,47,45
0,1,7,1,152,45,48
0,3,3,3,154,47,44
0,6,4,0,150,49,44
0,7,5,0,148,48,43
0,7,3,2,150,48,41
0,5,7,1,148,45,44
0,9,3,5,148,45,36
0,7,3,1,150,49,42
0,2,8,1,150,44,47
2,6,6,0,146,45,42
2,4,5,3,149,43,41
0,10,5,1,145,47,39
0,8,12,1,140,40,41
1,9,7,5,143,40,35
1,3,7,0,149,45,46
0,8,6,3,146,44,39
0,6,6,1,148,46,43
0,2,5,0,153,48,48
0,9,10,0,141,43,41
1,7,8,0,144,44,42
0,7,8,4,145,41,39
0,6,7,3,147,43,41
0,2,2,1,156,50,47
0,1,5,0,154,48,49
0,3,8,2,149,43,45
0,6,11,1,143,41,43
0,4,5,1,151,47,45
1,5,8,1,146,43,43
0,9,6,2,145,45,39
0,8,9,2,143,42,40
1,6,4,0,149,48,43
0,6,4,1,150,48,43
0,7,11,0,142,42,43
0,5,7,1,148,45,44
1,2,10,0,147,42,47
1,4,5,1,150,46,44
