hbt&hvol&hmed,hbt&hmed,hbt&hvol,hvol&hmed,hbt,hvol,hmed
0,4,5,1,151,47,45
3,2,5,3,150,42,42
0,6,3,5,151,45,39
1,4,8,2,147,42,43
1,2,10,3,147,39,44
0,4,4,1,152,48,45
1,5,7,1,147,44,43
2,3,2,0,153,49,45
0,10,4,3,146,46,37
0,4,3,1,153,49,45
0,6,9,1,145,43,43
1,6,7,0,146,45,43
1,5,6,0,148,46,44
2,5,5,2,148,44,41
0,7,3,3,150,47,40
2,4,3,2,151,46,42
0,6,5,2,149,46,42
0,6,5,2,149,46,42
1,6,3,3,150,46,40
0,4,6,2,150,45,44
0,2,4,0,154,49,48
0,5,4,3,151,46,42
1,5,7,0,147,45,44
2,5,2,2,151,47,41
2,5,5,2,148,44,41
0,5,4,1,151,48,44
3,5,4,2,148,44,40
2,5,7,3,146,41,40
2,4,5,1,149,45,43
1,3,10,1,146,41,45
1,4,6,2,149,44,43
1,8,7,3,144,42,38
0,6,7,1,147,45,43
2,10,4,1,144,46,37
0,7,9,3,144,41,40
1,7,5,2,147,45,40
0,5,9,2,146,42,43
2,4,9,0,145,42,44
1,4,5,3,150,44,42
0,9,5,1,146,47,40
0,5,6,1,149,46,44
2,0,6,3,152,42,45
0,3,11,3,146,39,44
2,7,7,5,144,39,36
0,6,6,1,148,46,43
1,6,5,3,148,44,40
1,6,0,1,153,51,42
1,4,2,2,153,48,43
0,6,10,1,144,42,43
0,4,4,0,152,49,46
1,8,3,1,148,48,40
0,6,8,3,146,42,41
2,4,6,0,148,45,44
0,7,2,1,151,50,42
1,4,4,1,151,47,44
1,3,7,2,149,43,44
1,4,3,0,152,49,45
2,5,5,0,148,46,43
0,5,2,3,153,48,42
1,5,4,1,150,47,43
0,5,9,1,146,43,44
0,1,9,4,150,40,45
0,8,5,1,147,47,41
1,4,3,2,152,47,43
1,3,6,2,150,44,44
0,5,7,2,148,44,43
1,2,5,2,152,45,45
0,9,3,0,148,50,41
1,3,7,2,149,43,44
1,7,6,1,146,45,41
1,7,7,0,145,45,42
1,5,7,3,147,42,41
0,5,5,4,150,44,41
1,5,4,2,150,46,42
1,2,9,1,148,42,46
1,4,5,1,150,46,44
0,3,6,1,151,46,46
0,6,3,0,151,50,44
0,7,7,0,146,46,43
0,5,5,1,150,47,44
1,6,6,1,147,45,42
0,2,5,0,153,48,48
0,5,5,3,150,45,42
0,5,3,4,152,46,41
0,5,5,0,150,48,45
1,6,4,3,149,45,40
0,7,6,1,147,46,42
0,6,3,4,151,46,40
2,3,2,0,153,49,45
1,2,6,1,151,45,46
2,7,7,3,144,41,38
0,3,9,4,148,40,43
0,7,3,3,150,47,40
2,4,6,1,148,44,43
0,2,5,2,153,46,46
1,4,5,3,150,44,42
0,4,6,0,150,47,46
0,5,3,0,152,50,45
1,9,3,4,147,45,36
0,4,4,1,152,48,45
0,4,5,3,151,45,43
0,3,7,3,150,43,44
2,6,8,1,144,42,41
0,4,2,1,154,50,45
1,10,5,1,144,46,38
0,3,6,2,151,45,45
0,2,7,2,151,44,46
1,2,5,2,152,45,45
0,6,6,2,148,45,42
0,5,10,2,145,41,43
3,4,5,4,148,41,39
0,6,3,3,151,47,41
1,2,8,1,149,43,46
0,8,3,3,149,47,39
2,8,1,2,149,48,38
1,6,3,3,150,46,40
4,6,5,2,145,42,38
1,3,5,2,151,45,44
0,6,2,6,152,45,38
1,2,6,0,151,46,47
0,6,6,3,148,44,41
0,4,7,1,149,45,45
0,2,3,1,155,49,47
1,5,6,0,148,46,44
1,8,4,1,147,47,40
1,4,5,0,150,47,45
0,4,9,1,147,43,45
0,5,5,1,150,47,44
1,4,7,2,148,43,43
0,5,7,2,148,44,43
1,2,7,3,150,42,44
1,5,6,2,148,44,42
1,6,9,1,144,42,42
1,4,4,2,151,46,43
1,8,3,0,148,49,41
2,2,3,1,153,47,45
1,6,6,1,147,45,42
0,2,5,4,153,44,44
1,2,1,3,156,48,44
0,7,3,4,150,46,39
0,8,5,0,147,48,42
0,3,5,0,152,48,47
0,5,6,1,149,46,44
2,5,8,2,145,41,41
1,3,5,1,151,46,45
0,0,4,1,156,48,49
1,5,3,1,151,48,43
1,6,4,1,149,47,42
1,6,6,2,147,44,41
0,8,5,2,147,46,40
1,1,9,0,149,43,48
0,3,12,1,145,40,46
0,4,2,1,154,50,45
1,5,4,1,150,47,43
0,3,4,2,153,47,45
0,5,5,3,150,45,42
1,6,5,2,148,45,41
1,3,4,2,152,46,44
0,3,8,0,149,45,47
1,3,6,1,150,45,45
2,5,5,0,148,46,43
0,5,5,1,150,47,44
0,5,3,4,152,46,41
3,2,8,3,147,39,42
1,5,4,1,150,47,43
0,5,4,1,151,48,44
1,2,6,1,151,45,46
2,2,1,1,155,49,45
0,9,4,1,147,48,40
1,8,8,2,143,42,39
1,6,7,2,146,43,41
1,5,8,1,146,43,43
0,5,4,0,151,49,45
1,5,7,2,147,43,42
0,5,6,3,149,44,42
0,4,5,1,151,47,45
1,7,5,1,147,46,41
0,4,2,3,154,48,43
0,7,4,2,149,47,41
0,8,9,1,143,43,41
1,5,6,4,148,42,40
0,8,3,1,149,49,41
1,2,7,3,150,42,44
0,6,5,1,149,47,43
0,9,6,1,145,46,40
0,8,4,0,148,49,42
0,3,4,2,153,47,45
0,9,6,2,145,45,39
1,3,4,2,152,46,44
0,5,6,2,149,45,43
0,6,4,3,150,46,41
0,6,5,2,149,46,42
1,3,3,4,153,45,42
0,8,5,2,147,46,40
0,3,5,3,152,45,44
0,4,1,1,155,51,45
2,5,4,1,149,46,42
0,8,11,6,141,36,36
1,3,6,4,150,42,42
0,4,3,3,153,47,43
0,4,5,0,151,48,46
0,3,8,4,149,41,43
1,4,3,5,152,44,40
2,3,5,2,150,44,43
1,6,6,1,147,45,42
1,5,4,3,150,45,41
0,5,7,1,148,45,44
1,4,8,3,147,41,42
2,7,9,3,142,39,38
1,5,3,1,151,48,43
2,5,8,0,145,43,43
0,8,6,1,146,46,41
1,9,5,1,145,46,39
2,3,6,5,149,40,40
0,5,10,0,145,43,45
1,3,3,0,153,49,46
0,4,10,3,146,40,43
5,4,4,0,147,44,41
1,12,7,0,140,45,37
0,5,8,3,147,42,42
0,3,8,2,149,43,45
0,9,3,2,148,48,39
1,4,6,1,149,45,44
0,4,5,0,151,48,46
0,4,6,2,150,45,44
1,3,5,1,151,46,45
0,3,4,3,153,46,44
0,4,7,1,149,45,45
0,3,3,3,154,47,44
2,4,5,2,149,44,42
0,5,5,1,150,47,44
1,6,1,3,152,48,40
1,3,3,1,153,48,45
0,6,2,2,152,49,42
0,6,6,1,148,46,43
1,3,7,1,149,44,45
1,3,1,2,155,49,44
0,6,4,1,150,48,43
1,6,6,0,147,46,43
2,6,6,1,146,44,41
1,8,8,3,143,41,38
0,3,5,1,152,47,46
0,5,6,0,149,47,45
0,5,3,6,152,44,39
1,7,8,3,144,41,39
2,6,3,2,149,46,40
0,5,5,3,150,45,42
0,7,4,0,149,49,43
0,3,7,2,150,44,45
1,5,5,1,149,46,43
1,4,4,2,151,46,43
1,7,5,0,147,47,42
0,3,7,1,150,45,46
2,7,4,1,147,46,40
1,2,3,4,154,45,43
0,7,7,2,146,44,41
0,5,9,1,146,43,44
0,9,5,1,146,47,40
0,6,5,2,149,46,42
0,5,6,0,149,47,45
0,9,7,2,144,44,39
0,7,5,3,148,45,40
0,3,2,1,155,50,46
0,5,6,1,149,46,44
0,4,4,1,152,48,45
1,5,5,0,149,47,44
1,4,3,2,152,47,43
1,2,9,1,148,42,46
0,2,6,5,152,42,43
0,6,5,0,149,48,44
1,1,3,1,155,48,47
1,3,6,1,150,45,45
0,7,4,4,149,45,39
1,3,8,1,148,43,45
2,5,6,2,147,43,41
1,1,1,2,157,49,46
1,5,5,1,149,46,43
0,3,7,1,150,45,46
1,3,4,1,152,47,45
2,6,0,3,152,48,39
1,5,6,1,148,45,43
1,9,4,0,146,48,40
0,6,4,3,150,46,41
1,10,10,1,139,41,38
2,3,4,2,151,45,43
0,3,6,4,151,43,43
1,2,7,2,150,43,45
1,5,4,4,150,44,40
0,3,6,2,151,45,45
1,7,6,1,146,45,41
0,5,1,4,154,48,41
0,3,9,3,148,41,44
0,5,6,2,149,45,43
1,4,6,2,149,44,43
1,5,5,4,149,43,40
0,5,2,5,153,46,40
1,5,7,2,147,43,42
0,3,3,2,154,48,45
1,8,1,2,150,49,39
0,6,3,1,151,49,43
1,6,6,0,147,46,43
1,3,4,4,152,44,42
1,8,8,0,143,44,41
2,4,3,0,151,48,44
1,2,2,3,155,47,44
0,5,5,0,150,48,45
2,4,6,1,148,44,43
2,4,5,2,149,44,42
1,9,7,0,143,45,40
1,4,4,2,151,46,43
0,5,6,4,149,43,41
0,5,3,1,152,49,44
1,4,5,2,150,45,43
0,5,7,2,148,44,43
1,2,3,1,154,48,46
0,8,4,1,148,48,41
1,4,4,1,151,47,44
0,1,4,4,155,45,45
1,9,6,1,144,45,39
0,5,6,2,149,45,43
0,7,10,2,143,41,41
1,7,3,2,149,47,40
1,3,5,2,151,45,44
1,5,13,1,141,38,43
0,8,5,2,147,46,40
1,3,4,2,152,46,44
0,1,6,2,153,45,47
1,1,6,1,152,45,47
1,2,3,4,154,45,43
0,3,7,2,150,44,45
1,3,5,2,151,45,44
1,5,4,1,150,47,43
3,7,5,0,145,45,40
0,4,5,4,151,44,42
0,5,3,3,152,47,42
0,5,6,1,149,46,44
1,12,5,2,142,45,35
1,7,8,2,144,42,40
1,4,4,3,151,45,42
0,2,6,0,152,47,48
1,4,10,0,145,42,45
2,6,4,4,148,43,38
0,4,5,4,151,44,42
0,3,2,5,155,46,42
1,6,8,3,145,41,40
2,6,4,0,148,47,42
0,3,9,3,148,41,44
1,3,7,2,149,43,44
0,7,7,1,146,45,42
1,5,3,0,151,49,44
0,8,6,2,146,45,40
1,1,5,2,153,45,46
1,5,9,1,145,42,43
0,5,6,0,149,47,45
1,8,6,0,145,46,41
0,5,7,1,148,45,44
1,6,7,1,146,44,42
0,8,6,0,146,47,42
2,4,5,1,149,45,43
1,4,5,4,150,43,41
3,3,2,0,152,48,44
1,3,7,5,149,40,41
3,1,3,3,153,44,43
0,4,5,2,151,46,44
1,1,4,5,154,43,43
0,3,7,1,150,45,46
1,8,5,0,146,47,41
0,8,7,1,145,45,41
0,2,5,2,153,46,46
1,3,7,2,149,43,44
1,2,12,0,145,40,47
2,3,7,1,148,43,44
1,4,8,0,147,44,45
1,2,6,3,151,43,44
0,7,9,1,144,43,42
0,3,6,0,151,47,47
1,5,3,2,151,47,42
0,6,1,1,153,51,43
0,8,12,4,140,37,38
0,6,4,2,150,47,42
1,4,6,2,149,44,43
0,8,10,1,142,42,41
1,2,3,2,154,47,45
1,5,6,1,148,45,43
3,1,3,5,153,42,41
2,4,5,1,149,45,43
0,13,8,1,139,44,36
0,4,3,1,153,49,45
1,8,9,0,142,43,41
2,4,5,2,149,44,42
0,4,11,2,145,40,44
0,6,4,1,150,48,43
0,4,8,1,148,44,45
0,4,7,4,149,42,42
1,5,5,1,149,46,43
0,3,9,5,148,39,42
0,10,5,4,145,44,36
0,6,2,3,152,48,41
0,6,8,1,146,44,43
0,4,7,2,149,44,44
1,5,5,2,149,45,42
2,5,3,2,150,46,41
1,4,5,4,150,43,41
1,5,6,2,148,44,42
1,8,5,3,146,44,38
1,2,8,2,149,42,45
0,4,7,4,149,42,42
1,3,8,1,148,43,45
3,3,3,2,151,45,42
1,5,9,0,145,43,44
0,7,6,3,147,44,40
0,5,6,0,149,47,45
1,7,3,1,149,48,41
1,6,5,5,148,42,38
0,4,6,2,150,45,44
1,7,8,2,144,42,40
0,7,3,2,150,48,41
0,5,3,2,152,48,43
1,4,5,4,150,43,41
0,3,6,1,151,46,46
2,4,5,2,149,44,42
0,7,9,1,144,43,42
1,3,5,2,151,45,44
0,4,6,0,150,47,46
1,5,5,4,149,43,40
3,3,6,2,148,42,42
0,5,4,1,151,48,44
0,6,5,2,149,46,42
2,6,4,2,148,45,40
1,1,5,2,153,45,46
0,5,7,2,148,44,43
0,4,7,0,149,46,46
1,7,6,1,146,45,41
0,5,7,1,148,45,44
2,6,4,1,148,46,41
0,6,5,4,149,44,40
0,2,8,2,150,43,46
2,8,3,1,147,47,39
1,6,9,0,144,43,43
0,6,4,2,150,47,42
0,9,6,1,145,46,40
1,8,6,3,145,43,38
0,2,5,2,153,46,46
0,9,7,1,144,45,40
0,5,6,2,149,45,43
2,5,2,2,151,47,41
0,6,8,2,146,43,42
1,3,5,4,151,43,42
1,6,6,3,147,43,40
2,5,3,2,150,46,41
0,5,4,2,151,47,43
0,4,4,1,152,48,45
1,4,5,1,150,46,44
1,5,3,2,151,47,42
1,7,7,1,145,44,41
1,6,9,2,144,41,41
0,8,3,4,149,46,38
1,6,9,1,144,42,42
0,6,3,2,151,48,42
1,8,6,0,145,46,41
2,4,9,0,145,42,44
1,4,8,2,147,42,43
0,10,7,0,143,46,40
0,4,5,1,151,47,45
0,4,3,2,153,48,44
0,6,3,2,151,48,42
0,9,3,1,148,49,40
0,5,5,2,150,46,43
2,9,4,1,145,46,38
0,6,5,1,149,47,43
0,3,4,3,153,46,44
0,4,5,0,151,48,46
1,4,3,0,152,49,45
0,6,6,4,148,43,40
0,3,4,1,153,48,46
0,4,6,4,150,43,42
1,4,6,4,149,42,41
1,7,4,2,148,46,40
1,6,4,2,149,46,41
0,6,2,2,152,49,42
0,4,3,1,153,49,45
1,5,8,3,146,41,41
0,2,5,1,153,47,47
0,7,8,2,145,43,41
0,6,2,1,152,50,43
0,5,5,5,150,43,40
0,2,11,1,147,41,47
1,5,5,1,149,46,43
2,4,5,5,149,41,39
1,5,5,2,149,45,42
1,3,6,0,150,46,46
1,5,3,3,151,46,41
0,5,3,3,152,47,42
0,7,7,2,146,44,41
1,6,4,0,149,48,43
1,1,7,0,151,45,48
0,7,4,1,149,48,42
1,7,7,3,145,42,39
0,6,2,1,152,50,43
3,4,5,1,148,44,42
0,10,5,0,145,48,40
2,5,5,3,148,43,40
0,7,7,2,146,44,41
1,4,5,4,150,43,41
0,5,3,5,152,45,40
1,6,8,1,145,43,42
0,6,5,4,149,44,40
1,6,7,3,146,42,40
1,3,3,0,153,49,46
0,3,5,2,152,46,45
1,5,5,2,149,45,42
0,10,6,0,144,47,40
0,5,7,3,148,43,42
0,7,8,2,145,43,41
0,6,7,1,147,45,43
1,5,3,4,151,45,40
0,8,5,0,147,48,42
0,5,6,2,149,45,43
1,3,7,1,149,44,45
1,9,3,0,147,49,40
0,5,6,2,149,45,43
0,12,4,3,144,46,35
0,5,5,2,150,46,43
1,7,7,3,145,42,39
0,3,8,2,149,43,45
1,8,6,1,145,45,40
0,7,6,3,147,44,40
1,5,4,1,150,47,43
0,4,9,1,147,43,45
0,5,6,1,149,46,44
0,5,8,4,147,41,41
1,3,11,1,145,40,45
2,5,9,0,144,42,43
1,5,3,3,151,46,41
1,5,6,2,148,44,42
0,10,9,2,141,42,38
0,9,9,0,142,44,41
0,5,6,2,149,45,43
0,6,6,0,148,47,44
1,5,9,1,145,42,43
2,4,5,3,149,43,41
1,10,6,1,143,45,38
1,5,6,3,148,43,41
0,10,4,1,146,48,39
0,6,10,1,144,42,43
1,8,4,3,147,45,38
2,3,6,4,149,41,41
0,6,4,1,150,48,43
1,4,5,2,150,45,43
0,5,5,1,150,47,44
2,3,6,2,149,43,43
0,6,4,3,150,46,41
0,3,3,3,154,47,44
2,6,5,2,147,44,40
0,7,5,1,148,47,42
0,5,6,2,149,45,43
0,8,9,3,143,41,39
2,3,6,2,149,43,43
1,2,2,3,155,47,44
0,4,5,3,151,45,43
0,5,3,1,152,49,44
0,6,6,0,148,47,44
0,7,6,1,147,46,42
0,5,10,2,145,41,43
1,3,3,3,153,46,43
0,4,9,1,147,43,45
0,2,6,3,152,44,45
0,3,3,1,154,49,46
1,5,4,5,150,43,39
1,2,6,1,151,45,46
0,5,2,1,153,50,44
1,6,5,2,148,45,41
0,8,5,1,147,47,41
0,6,8,3,146,42,41
1,1,4,1,154,47,47
0,1,12,1,147,40,48
0,6,1,1,153,51,43
2,2,9,3,147,39,43
1,6,9,1,144,42,42
0,7,4,2,149,47,41
1,4,6,1,149,45,44
3,3,4,0,150,46,44
1,6,4,1,149,47,42
0,10,7,2,143,44,38
2,5,4,1,149,46,42
1,4,1,2,154,49,43
2,1,5,3,152,43,44
0,6,4,0,150,49,44
0,7,2,4,151,47,39
1,4,3,1,152,48,44
0,9,6,0,145,47,41
0,6,7,2,147,44,42
0,4,6,1,150,46,45
0,2,7,0,151,46,48
2,4,3,0,151,48,44
1,6,3,1,150,48,42
0,4,7,5,149,41,41
0,5,4,3,151,46,42
0,4,7,0,149,46,46
0,5,5,1,150,47,44
0,9,8,3,143,42,38
0,2,7,2,151,44,46
0,4,9,2,147,42,44
2,6,6,1,146,44,41
0,3,9,4,148,40,43
1,6,8,1,145,43,42
0,6,3,0,151,50,44
1,4,3,2,152,47,43
0,3,7,4,150,42,43
1,6,6,1,147,45,42
1,5,6,3,148,43,41
1,3,5,3,151,44,43
3,2,2,3,153,45,42
0,5,4,3,151,46,42
0,6,4,3,150,46,41
1,2,5,1,152,46,46
1,10,5,2,144,45,37
1,5,1,4,153,47,40
0,7,6,0,147,47,43
0,4,1,1,155,51,45
0,5,7,1,148,45,44
1,1,8,0,150,44,48
0,6,7,1,147,45,43
1,6,4,3,149,45,40
1,6,4,2,149,46,41
0,5,6,0,149,47,45
0,5,5,1,150,47,44
2,6,7,3,145,41,39
0,6,6,2,148,45,42
0,7,7,2,146,44,41
0,5,3,3,152,47,42
0,3,9,1,148,43,46
0,6,3,2,151,48,42
0,6,6,0,148,47,44
1,4,7,0,148,45,45
0,2,6,1,152,46,47
0,7,8,2,145,43,41
1,6,4,0,149,48,43
0,6,4,3,150,46,41
0,3,5,2,152,46,45
0,6,4,0,150,49,44
1,6,5,0,148,47,43
2,3,5,0,150,46,45
0,6,7,4,147,42,40
2,4,4,1,150,46,43
0,2,5,1,153,47,47
0,4,2,0,154,51,46
1,6,3,1,150,48,42
0,5,8,4,147,41,41
1,7,9,2,143,41,40
1,4,5,3,150,44,42
0,0,5,4,155,44,46
0,4,6,4,150,43,42
1,7,4,1,148,47,41
2,9,6,2,143,43,37
1,3,4,0,152,48,46
0,6,5,1,149,47,43
0,11,9,1,140,43,38
0,9,1,2,150,50,39
0,6,11,0,143,42,44
0,7,6,4,147,43,39
3,3,2,2,152,46,42
1,8,3,0,148,49,41
0,6,5,2,149,46,42
0,5,4,0,151,49,45
0,5,5,0,150,48,45
0,4,5,1,151,47,45
0,5,8,1,147,44,44
0,5,4,4,151,45,41
0,12,5,0,143,48,38
0,9,6,0,145,47,41
0,2,7,0,151,46,48
0,4,3,1,153,49,45
1,3,5,2,151,45,44
0,8,6,2,146,45,40
1,7,6,1,146,45,41
2,6,4,1,148,46,41
0,6,7,1,147,45,43
1,2,4,2,153,46,45
0,5,6,0,149,47,45
1,6,2,2,151,48,41
0,5,7,4,148,42,41
0,7,10,0,143,43,43
1,4,3,3,152,46,42
0,4,5,2,151,46,44
0,7,4,0,149,49,43
0,2,6,1,152,46,47
0,3,6,2,151,45,45
0,4,1,4,155,48,42
3,7,7,1,143,42,39
0,3,9,1,148,43,46
0,6,3,3,151,47,41
0,3,3,2,154,48,45
1,5,3,1,151,48,43
1,4,1,3,154,48,42
1,4,7,3,148,42,42
0,8,8,0,144,45,42
0,10,8,2,142,43,38
2,4,5,2,149,44,42
1,3,3,0,153,49,46
0,4,8,2,148,43,44
2,3,4,1,151,46,44
0,7,3,1,150,49,42
0,6,5,3,149,45,41
2,5,1,2,152,48,41
0,4,6,2,150,45,44
1,6,9,1,144,42,42
