species,overlap.region,COG_category,locus.tag,query,NOGs,HMM_description,COG.pval.by.region,COG.pval.cummulative
hbt,hbt,J,VNG_RS06605,WP_010903242.1,COG1588@NOG,"Part of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends (By similarity)",1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06650,WP_010903251.1,COG0468@NOG COG1717@NOG,50S ribosomal protein L32e,1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06590,WP_010903239.1,COG0091@NOG,"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome (By similarity)",1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS13645,WP_012289388.1,COG0441@NOG,Threonyl-tRNA synthetase,1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06565,WP_010903234.1,COG0087@NOG,"One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity)",1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06615,WP_010903244.1,COG0093@NOG,Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome (By similarity),1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06635,WP_010903248.1,COG0199@NOG,"Binds 16S rRNA, required for the assembly of 30S particles (By similarity)",1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06620,WP_010903245.1,COG0198@NOG,Located at the polypeptide exit tunnel on the outside of the subunit (By similarity),1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06570,WP_010903235.1,COG0088@NOG,"One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity)",1.942e-7,3.868e-6
hbt,hbt,K,VNG_RS11170,WP_010904139.1,COG2161@NOG,CopG domain protein DNA-binding domain protein,0.09669,0.01896
hbt,hbt,K,VNG_RS07655,WP_010903453.1,COG2865@NOG,Transcriptional regulator,0.09669,0.01896
hbt,hbt,K,VNG_RS13525,WP_010904162.1,COG1414@NOG,regulator,0.09669,0.01896
hbt,hbt,K,VNG_RS13500,WP_010904071.1,COG2161@NOG,CopG family transcriptional regulator,0.09669,0.01896
hbt,hbt,K,VNG_RS10405,WP_010903996.1,COG0086@NOG,"DNA-directed RNA polymerase, subunit a'",0.09669,0.01896
hbt,hbt,K,VNG_RS00835,WP_008526012.1,0ZHP4@NOG,Inherit from arCOG: Phage PhiH1 repressor protein,0.09669,0.01896
hbt,hbt,K,VNG_RS11555,WP_010904190.1,111DM@NOG,Transcriptional regulator,0.09669,0.01896
hbt,hbt,K,VNG_RS13370,WP_010903541.1,COG1522@NOG,AsnC family transcriptional regulator,0.09669,0.01896
hbt,hbt,K,VNG_RS03870,WP_010902501.1,COG1309@NOG,"transcriptional regulator, TetR family",0.09669,0.01896
hbt,hbt,K,VNG_RS10400,WP_010903995.1,COG0086@NOG,"DNA-directed RNA polymerase, subunit a'",0.09669,0.01896
hbt,hbt,K,VNG_RS09955,WP_010903994.1,COG0195@NOG,Transcription elongation factor NusA-like protein,0.09669,0.01896
hbt,hbt,K,VNG_RS12020,WP_081422761.1,COG3177@NOG,filamentation induced by cAMP protein fic,0.09669,0.01896
hbt,hbt,K,VNG_RS11620,WP_010904211.1,COG2002@NOG,AbrB family transcriptional regulator,0.09669,0.01896
hbt,hbt,K,VNG_RS10430,WP_010903997.1,COG0085@NOG,DNA-directed RNA polymerase subunit b',0.09669,0.01896
hbt,hbt,K,VNG_RS11605,WP_010904200.1,111D7@NOG,Pfam:SpoVT_AbrB,0.09669,0.01896
hbt,hbt,K,VNG_RS03785,WP_010902100.1,COG3609@NOG,"transcriptional regulator, copg family",0.09669,0.01896
hbt,hbt,L,VNG_RS11255,WP_010904164.1,COG0419@NOG,Inherit from NOG: Involved in DNA double-strand break repair (DSBR). The Rad50 Mre11 complex possesses single-strand endonuclease activity and ATP-dependent double-strand-specific 3'-5' exonuclease activity. Rad50 provides an ATP-dependent control of Mre11 by unwinding and or repositioning DNA ends into the Mre11 active site (By similarity),0.1364,0.02448
hbt,hbt,L,VNG_RS11165,WP_010904073.1,0ZZTP@NOG,Inherit from NOG: Transposase,0.1364,0.02448
hbt,hbt,L,VNG_RS03835,WP_010902166.1,COG1943@NOG,Transposase,0.1364,0.02448
hbt,hbt,L,VNG_RS11600,WP_010904198.1,110XS@NOG COG3385@NOG,transposase (ISH3),0.1364,0.02448
hbt,hbt,L,VNG_RS10435,WP_010904032.1,COG0433@NOG,Inherit from COG: Aaa atpase,0.1364,0.02448
hbt,hbt,L,VNG_RS01140,WP_010901979.1,COG1943@NOG,transposase IS200-family protein,0.1364,0.02448
hbt,hbt,L,VNG_RS13565,WP_010904192.1,COG0675@NOG,Transposase,0.1364,0.02448
hbt,hbt,L,VNG_RS13265,WP_010901955.1,COG3359@NOG,Inherit from COG: Exonuclease-like protein,0.1364,0.02448
hbt,hbt,L,VNG_RS13295,WP_010902167.1,COG0675@NOG,Pfam:Transposase_35,0.1364,0.02448
hbt,hbt,L,VNG_RS11840,WP_012289608.1,11UJV@NOG,Transposase (ISH5),0.1364,0.02448
hbt,hbt,L,VNG_RS07115,WP_010903386.1,101KW@NOG,NurA domain,0.1364,0.02448
hbt,hbt,L,VNG_RS11825,WP_012289533.1,COG0675@NOG,Inherit from arCOG: IS1341-type transposase,0.1364,0.02448
hbt,hbt,L,VNG_RS11180,WP_010904142.1,COG3316@NOG,Transposase,0.1364,0.02448
hbt,hbt,L,VNG_RS08960,WP_010903989.1,COG1943@NOG,Transposase,0.1364,0.02448
hbt,hbt,M,VNG_RS03980,WP_010902647.1,COG0463@NOG,glycosyl transferase family 2,0.07771,0.06888
hbt,hbt,M,VNG_RS04955,WP_010902764.1,COG0463@NOG,Glycosyl transferase family 2,0.07771,0.06888
hbt,hbt,M,VNG_RS04435,WP_010902758.1,COG0438@NOG,Glycosyl transferases group 1,0.07771,0.06888
hbt,hbt,M,VNG_RS01145,WP_010901985.1,COG2244@NOG,Polysaccharide biosynthesis protein,0.07771,0.06888
hbt,hbt,M,VNG_RS02880,WP_010901991.1,1110N@NOG,O-antigen polymerase,0.07771,0.06888
hbt,hbt,M,VNG_RS13310,WP_010902542.1,COG0615@NOG,Catalyzes the transfer of the AMP portion of ATP to flavin mononucleotide (FMN) to produce flavin adenine dinucleotide (FAD) coenzyme (By similarity),0.07771,0.06888
hbt,hbt,M,VNG_RS02845,WP_010901986.1,COG0438@NOG,glycosyl transferase group 1,0.07771,0.06888
hbt,hbt,N,VNG_RS04130,WP_010902690.1,COG0643@NOG,CheA signal transduction histidine kinase,0.1013,0.07305
hbt,hbt,N,VNG_RS04125,WP_010902689.1,COG1776@NOG,"CheC, inhibitor of MCP methylation",0.1013,0.07305
hbt,hbt,N,VNG_RS04150,WP_010902693.1,COG0835@NOG,chemotaxis protein,0.1013,0.07305
hbt,hbt,N,VNG_RS11715,WP_010904243.1,COG3430@NOG,Protein of unknown function (DUF1628),0.1013,0.07305
hbt,hbt,N,VNG_RS04140,WP_010902691.1,COG2201@NOG,catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR (By similarity),0.1013,0.07305
hbt,hbt,O,VNG_RS06550,WP_010903205.1,COG0464@NOG,AAA domain (Cdc48 subfamily),0.9416,0.9155
hbt,hbt,O,VNG_RS03570,WP_010902046.1,COG0501@NOG,Peptidase M48 Ste24p,0.9416,0.9155
hbt,hbt,P,VNG_RS07335,WP_010903450.1,COG3540@NOG,Inherit from COG: alkaline phosphatase,0.8894,0.9493
hbt,hbt,P,VNG_RS11215,WP_010904144.1,COG0376@NOG,Bifunctional enzyme with both catalase and broad- spectrum peroxidase activity (By similarity),0.8894,0.9493
hbt,hbt,P,VNG_RS11090,WP_010904056.1,COG2060@NOG,"One of the components of the high-affinity ATP-driven potassium transport (or KDP) system, which catalyzes the hydrolysis of ATP coupled with the exchange of hydrogen and potassium ions (By similarity)",0.8894,0.9493
hbt,hbt,P,VNG_RS06735,WP_010903265.1,1279I@NOG COG1226@NOG,ion transport 2 domain protein,0.8894,0.9493
hbt,hbt,P,VNG_RS11080,WP_010904055.1,COG0569@NOG,TRK potassium uptake system protein,0.8894,0.9493
hbt,hbt,S,VNG_RS07095,WP_010903268.1,COG3217@NOG,MOSC domain containing protein,0.3634,0.7004
hbt,hbt,S,VNG_RS08955,WP_010903901.1,COG2078@NOG,AMMECR1 domain protein,0.3634,0.7004
hbt,hbt,S,VNG_RS11095,WP_010904063.1,COG0618@NOG,phosphoesterase RecJ domain protein,0.3634,0.7004
hbt,hbt,S,VNG_RS06560,WP_010903233.1,COG2106@NOG,Pfam:DUF171,0.3634,0.7004
hbt,hbt,S,VNG_RS03580,WP_010902090.1,COG5524@NOG,Halorhodopsin,0.3634,0.7004
hbt,hbt,S,VNG_RS06185,WP_010902916.1,COG1745@NOG,Uncharacterised protein family UPF0058,0.3634,0.7004
hbt,hbt,S,VNG_RS00885,WP_010901973.1,COG1598@NOG,Inherit from COG: family UPF0150,0.3634,0.7004
hbt,hbt,S,VNG_RS03795,WP_010902115.1,COG3378@NOG COG4983@NOG,Primase C terminal 2 (PriCT-2),0.3634,0.7004
hbt,hbt,S,VNG_RS01050,WP_010901974.1,0XUD5@NOG,YcfA family,0.3634,0.7004
hbt,hbt,S,VNG_RS04975,WP_010902783.1,COG2835@NOG,UPF0434 protein,0.3634,0.7004
hbt,hbt,S,VNG_RS03565,WP_010902031.1,COG1451@NOG,Protein of unknown function DUF45,0.3634,0.7004
hbt,hbt,S,VNG_RS08560,WP_010903706.1,110P6@NOG,Protein of unknown function (DUF2029),0.3634,0.7004
hbt,hbt,S,VNG_RS06395,WP_010903077.1,COG1033@NOG,Sterol-sensing domain of SREBP cleavage-activation,0.3634,0.7004
hbt,hbt,S,VNG_RS06385,WP_010902921.1,129N7@NOG,"Inherit from NOG: Phosphodiesterase, mj0936 family",0.3634,0.7004
hbt,hbt,S,VNG_RS03790,WP_010902113.1,0YQVI@NOG,Pfam:TRF2,0.3634,0.7004
hbt,hbt,S,VNG_RS11885,WP_012289746.1,COG1556@NOG,"Uncharacterised ACR, YkgG family COG1556",0.3634,0.7004
hbt,hbt,S,VNG_RS06390,WP_010903069.1,COG5524@NOG,bacteriorhodopsin,0.3634,0.7004
hbt,hbt,S,VNG_RS11650,WP_010904224.1,COG0384@NOG,Phenazine,0.3634,0.7004
hbt,hbt,S,VNG_RS07650,WP_010903451.1,COG3430@NOG,Inherit from arCOG: Protein of unknown function (DUF1628),0.3634,0.7004
hbt,hbt,S,VNG_RS13560,WP_010904188.1,COG2333@NOG,beta-lactamase domain protein,0.3634,0.7004
hbt,hbt,S,VNG_RS06405,WP_010903157.1,COG1479@NOG,Protein of unknown function DUF262,0.3634,0.7004
hbt,hbt,T,VNG_RS11775,WP_012289247.1,COG0784@NOG,response regulator receiver protein,0.1348,0.2194
hbt,hbt,T,VNG_RS03905,WP_010902509.1,COG0784@NOG,response regulator receiver protein,0.1348,0.2194
hbt,hbt,T,VNG_RS04145,WP_010902692.1,COG0784@NOG,response regulator receiver protein,0.1348,0.2194
hbt,hbt,T,VNG_RS11120,WP_010904064.1,COG0589@NOG,UspA domain protein,0.1348,0.2194
hbt,hbt,T,VNG_RS03935,WP_010902645.1,COG0642@NOG COG2202@NOG,His Kinase A (phospho-acceptor) domain,0.1348,0.2194
hbt,hbt,T,VNG_RS11220,WP_010904146.1,COG1520@NOG,Pyrrolo-quinoline quinone,0.1348,0.2194
hbt,hbt,U,VNG_RS06730,WP_010903257.1,COG0201@NOG,"The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)",0.2597,0.3149
hbt,hbt,V,VNG_RS03290,WP_010902030.1,COG0610@NOG,"Type I site-specific deoxyribonuclease, HsdR family",0.005685,0.01272
hbt,hbt,V,VNG_RS03045,WP_010902029.1,COG0732@NOG,Restriction modification system DNA specificity domain protein,0.005685,0.01272
hbt,hbt,V,VNG_RS11640,WP_010904215.1,COG2402@NOG,nucleic acid-binding protein contains PIN domain-like region,0.005685,0.01272
hbt,hbt,V,VNG_RS11880,WP_012289743.1,COG1715@NOG,restriction endonuclease,0.005685,0.01272
hbt,hbt,V,VNG_RS02950,WP_010902028.1,COG0286@NOG,type I restriction-modification system,0.005685,0.01272
hbt,hbt,V,VNG_RS11895,WP_012289748.1,COG1848@NOG,VapC-type toxin,0.005685,0.01272
hbt,hbt,V,VNG_RS11565,WP_010904195.1,COG1403@NOG,hnh endonuclease,0.005685,0.01272
hbt,hbt,NA,VNG_RS04245,WP_010902708.1,110ND@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS01055,WP_010901975.1,0Z4Q9@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS04155,WP_010902699.1,111T3@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS06540,WP_010903203.1,0YTZS@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS11915,WP_049892468.1,0YM5U@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS11800,WP_012289276.1,COG3388@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS11810,WP_012289386.1,0Y4YD@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS04950,WP_010902762.1,0YGV9@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS10440,WP_010904036.1,11GG8@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS10445,WP_010904046.1,0XXT4@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS11050,WP_010904053.1,0YNY9@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS11075,WP_010904054.1,0XTGC@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS08105,WP_010903690.1,0ZFRM@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS11535,WP_010904167.1,10ZRF@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS11950,WP_049892694.1,10ZXQ@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS11660,WP_010904242.1,1108B@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS04240,WP_010902701.1,110AR@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS13700,WP_049928196.1,0YC5Q@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS04250,WP_010902718.1,1105A@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS00870,WP_010901954.1,0YM3N@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS00880,WP_010901967.1,10ZN6@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS05755,WP_010902878.1,10ZXY@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS11615,WP_010904202.1,110T0@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS02885,WP_010901992.1,0YCQD@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS13355,WP_010903159.1,110F7@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS06810,WP_010903267.1,10ZTS@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS04750,WP_010902761.1,0YM5U@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS07110,WP_010903282.1,10ZTS@NOG,NA,NA,NA
hbt,hbt,NA,VNG_RS06380,WP_010902920.1,11120@NOG,NA,NA,NA
hbt,hbt&hmed,K,VNG_RS00525,WP_010902147.1,COG1695@NOG,regulator,4.586e-4,0.003198
hbt,hbt&hmed,K,VNG_RS00745,WP_010902522.1,COG1695@NOG,Transcriptional regulator,4.586e-4,0.003198
hbt,hbt&hmed,K,VNG_RS00790,WP_010903343.1,COG1278@NOG,cold-shock DNA-binding domain protein,4.586e-4,0.003198
hbt,hbt&hmed,M,VNG_RS00750,WP_010903076.1,COG1361@NOG,CARDB,0.01122,0.02549
hbt,hbt&hmed,O,VNG_RS00795,WP_010904078.1,COG0071@NOG,heat shock protease protein,0.01852,0.04134
hbt,hbt&hmed,NA,VNG_RS00430,WP_010902106.1,0YSDR@NOG,NA,NA,NA
hbt,hbt&hvol,C,VNG_RS00235,WP_010904158.1,COG1757@NOG,Na H antiporter,0.1844,0.2479
hbt,hbt&hvol,E,VNG_RS13210,WP_010903199.1,COG0512@NOG,anthranilate synthase,0.2502,0.004553
hbt,hbt&hvol,K,VNG_RS00145,WP_010902508.1,COG1405@NOG,Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre- initiation complex (DNA-TBP-TFIIB) (By similarity),0.08792,0.1389
hbt,hbt&hvol,K,VNG_RS00195,WP_010903452.1,COG1349@NOG,Inherit from arCOG: Phage PhiH1 repressor protein,0.08792,0.1389
hbt,hbt&hvol,L,VNG_RS00210,WP_010904037.1,COG1474@NOG,orc1 cdc6 family replication initiation protein,2.037e-4,7.027e-4
hbt,hbt&hvol,L,VNG_RS00425,WP_012289619.1,COG1474@NOG,Involved in regulation of DNA replication (By similarity),2.037e-4,7.027e-4
hbt,hbt&hvol,L,VNG_RS00140,WP_010902112.1,COG0582@NOG,Phage integrase family,2.037e-4,7.027e-4
hbt,hbt&hvol,L,VNG_RS00415,WP_012289079.1,COG1474@NOG,Involved in regulation of DNA replication (By similarity),2.037e-4,7.027e-4
hbt,hbt&hvol,L,VNG_RS00240,WP_010904194.1,COG1474@NOG,Involved in regulation of DNA replication (By similarity),2.037e-4,7.027e-4
hbt,hbt&hvol,N,VNG_RS00165,WP_010902719.1,COG1681@NOG,Flagellin,0.03218,0.04625
hbt,hbt&hvol,Q,VNG_RS00135,WP_010901984.1,COG0500@NOG,Inherit from COG: Methyltransferase,1.469e-4,3.335e-4
hbt,hbt&hvol,Q,VNG_RS00175,WP_010902759.1,COG0500@NOG,"methyltransferase, fkbm family",1.469e-4,3.335e-4
hbt,hbt&hvol,Q,VNG_RS13205,WP_010902763.1,COG0500@NOG,FkbM family methyltransferase,1.469e-4,3.335e-4
hbt,hbt&hvol,NA,VNG_RS00420,WP_012289235.1,0YYDE@NOG,NA,NA,NA
hbt,hbt&hvol&hmed,E,VNG_RS00060,WP_010903200.1,COG0147@NOG,anthranilate synthase component I,0,0
hbt,hbt&hvol&hmed,E,VNG_RS00065,WP_010903201.1,COG0135@NOG,N-(5'phosphoribosyl)anthranilate isomerase,0,0
hbt,hbt&hvol&hmed,E,VNG_RS13185,WP_010903202.1,COG0547@NOG,anthranilate phosphoribosyltransferase (EC 2.4.2.18),0,0
hmed,hbt&hmed,K,HFX_RS01600,WP_004057907.1,COG1278@NOG,cold-shock DNA-binding domain protein,0.004452,0.0208
hmed,hbt&hmed,K,HFX_RS00855,WP_004056704.1,COG1695@NOG,PadR family,0.004452,0.0208
hmed,hbt&hmed,M,HFX_RS00455,WP_004056227.1,COG1361@NOG,Inherit from arCOG: domain protein,0.007237,0.01919
hmed,hbt&hmed,O,HFX_RS02250,WP_014732347.1,COG0071@NOG,GvpH,0.01266,0.03295
hmed,hbt&hmed,NA,HFX_RS00860,WP_004057677.1,0YSDR@NOG,NA,NA,NA
hmed,hbt&hvol&hmed,E,HFX_RS00450,WP_004059911.1,COG0547@NOG,anthranilate phosphoribosyltransferase (EC 2.4.2.18),0,0
hmed,hbt&hvol&hmed,E,HFX_RS00445,WP_004059909.1,COG0135@NOG,N-(5'phosphoribosyl)anthranilate isomerase,0,0
hmed,hbt&hvol&hmed,E,HFX_RS00350,WP_004059907.1,COG0147@NOG,anthranilate synthase component I,0,0
hmed,hmed,D,HFX_RS08335,WP_004058177.1,COG0239@NOG,Protein CrcB homolog,0.05262,0.07868
hmed,hmed,E,HFX_RS11175,WP_004058652.1,COG0347@NOG,nitrogen regulatory protein P-II,0.4675,0.1448
hmed,hmed,E,HFX_RS16180,WP_004572623.1,COG0367@NOG,Asparagine synthase,0.4675,0.1448
hmed,hmed,E,HFX_RS08350,WP_004058648.1,COG0347@NOG,nitrogen regulatory protein P-II,0.4675,0.1448
hmed,hmed,G,HFX_RS08315,WP_004057811.1,COG0524@NOG,PfkB domain protein,0.5356,0.6606
hmed,hmed,H,HFX_RS18170,WP_014732145.1,COG0382@NOG,UbiA prenyltransferase,0.5316,0.6566
hmed,hmed,K,HFX_RS05100,WP_004056877.1,127TA@NOG,CopG family transcriptional regulator,0.1235,0.06192
hmed,hmed,K,HFX_RS11200,WP_004059585.1,10ZYJ@NOG,DNA binding protein,0.1235,0.06192
hmed,hmed,K,HFX_RS08325,WP_004057819.1,COG0864@NOG,Transcriptional regulator (By similarity),0.1235,0.06192
hmed,hmed,K,HFX_RS11190,WP_004058688.1,COG0569@NOG COG1522@NOG,asnC family transcriptional regulator,0.1235,0.06192
hmed,hmed,K,HFX_RS02830,WP_004056229.1,11GX7@NOG,Inherit from arCOG: Thrombospondin type 3 repeat-containing protein,0.1235,0.06192
hmed,hmed,M,HFX_RS07720,WP_004057673.1,0Y99T@NOG,"Inherit from NOG: von Willebrand factor, type A",0.337,0.1885
hmed,hmed,N,HFX_RS06975,WP_004057670.1,COG0630@NOG,type II secretion system protein,0.01707,0.03113
