locus.tag,query,species,overlap.region,COG_category,NOGs,HMM_description
VNG_RS00880,WP_010902147.1,hbt,hbt&hmed,K,COG1695@NOG,regulator
VNG_RS00885,WP_010902522.1,hbt,hbt&hmed,K,COG1695@NOG,Transcriptional regulator
VNG_RS01050,WP_010903076.1,hbt,hbt&hmed,M,COG1361@NOG,CARDB
VNG_RS01055,WP_010903232.1,hbt,hbt&hmed,G,COG0477@NOG,Major Facilitator Superfamily
VNG_RS01140,WP_010903268.1,hbt,hbt&hmed,S,COG3217@NOG,MOSC domain containing protein
VNG_RS01145,WP_010903343.1,hbt,hbt&hmed,K,COG1278@NOG,cold-shock DNA-binding domain protein
VNG_RS02845,WP_010903450.1,hbt,hbt&hmed,P,COG3540@NOG,Inherit from COG: alkaline phosphatase
VNG_RS02880,WP_010903453.1,hbt,hbt&hmed,K,COG2865@NOG,Transcriptional regulator
VNG_RS02885,WP_010904078.1,hbt,hbt&hmed,O,COG0071@NOG,heat shock protease protein
VNG_RS02950,WP_008526012.1,hbt,hbt,K,0ZHP4@NOG,Inherit from arCOG: Phage PhiH1 repressor protein
VNG_RS03045,WP_010901954.1,hbt,hbt,NA,0YM3N@NOG,NA
VNG_RS03290,WP_010901955.1,hbt,hbt,L,COG3359@NOG,Inherit from COG: Exonuclease-like protein
VNG_RS03565,WP_010901967.1,hbt,hbt,NA,10ZN6@NOG,NA
VNG_RS03570,WP_010901973.1,hbt,hbt,S,COG1598@NOG,Inherit from COG: family UPF0150
VNG_RS03580,WP_010901974.1,hbt,hbt,S,0XUD5@NOG,YcfA family
VNG_RS03780,WP_010901975.1,hbt,hbt,NA,0Z4Q9@NOG,NA
VNG_RS03785,WP_010901979.1,hbt,hbt,L,COG1943@NOG,transposase IS200-family protein
VNG_RS03790,WP_010901985.1,hbt,hbt,M,COG2244@NOG,Polysaccharide biosynthesis protein
VNG_RS03795,WP_010901986.1,hbt,hbt,M,COG0438@NOG,glycosyl transferase group 1
VNG_RS03800,WP_010901991.1,hbt,hbt,M,1110N@NOG,O-antigen polymerase
VNG_RS03835,WP_010902028.1,hbt,hbt,V,COG0286@NOG,type I restriction-modification system
VNG_RS13295,WP_010902029.1,hbt,hbt,V,COG0732@NOG,Restriction modification system DNA specificity domain protein
VNG_RS03870,WP_010902030.1,hbt,hbt,V,COG0610@NOG,"Type I site-specific deoxyribonuclease, HsdR family"
VNG_RS03905,WP_010902031.1,hbt,hbt,S,COG1451@NOG,Protein of unknown function DUF45
VNG_RS13310,WP_010902046.1,hbt,hbt,O,COG0501@NOG,Peptidase M48 Ste24p
VNG_RS03935,WP_010902090.1,hbt,hbt,S,COG5524@NOG,Halorhodopsin
VNG_RS03980,WP_010902091.1,hbt,hbt,H,COG0095@NOG,biotin lipoate A B protein ligase
VNG_RS04125,WP_010902100.1,hbt,hbt,K,COG3609@NOG,"transcriptional regulator, copg family"
VNG_RS04130,WP_010902115.1,hbt,hbt,S,COG3378@NOG COG4983@NOG,Primase C terminal 2 (PriCT-2)
VNG_RS04140,WP_010902148.1,hbt,hbt,C,COG0221@NOG,pyrophosphate phosphohydrolase
VNG_RS04145,WP_010902166.1,hbt,hbt,L,COG1943@NOG,Transposase
VNG_RS04150,WP_010902167.1,hbt,hbt,L,COG0675@NOG,Pfam:Transposase_35
VNG_RS04155,WP_010902501.1,hbt,hbt,K,COG1309@NOG,"transcriptional regulator, TetR family"
VNG_RS04240,WP_010902509.1,hbt,hbt,T,COG0784@NOG,response regulator receiver protein
VNG_RS04245,WP_010902542.1,hbt,hbt,M,COG0615@NOG,Catalyzes the transfer of the AMP portion of ATP to flavin mononucleotide (FMN) to produce flavin adenine dinucleotide (FAD) coenzyme (By similarity)
VNG_RS04250,WP_010902645.1,hbt,hbt,T,COG0642@NOG COG2202@NOG,His Kinase A (phospho-acceptor) domain
VNG_RS04410,WP_010902647.1,hbt,hbt,M,COG0463@NOG,glycosyl transferase family 2
VNG_RS04435,WP_010902689.1,hbt,hbt,N,COG1776@NOG,"CheC, inhibitor of MCP methylation"
VNG_RS04750,WP_010902690.1,hbt,hbt,N,COG0643@NOG,CheA signal transduction histidine kinase
VNG_RS04950,WP_010902691.1,hbt,hbt,N,COG2201@NOG,catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR (By similarity)
VNG_RS04955,WP_010902692.1,hbt,hbt,T,COG0784@NOG,response regulator receiver protein
VNG_RS13335,WP_010902693.1,hbt,hbt,N,COG0835@NOG,chemotaxis protein
VNG_RS04975,WP_010902701.1,hbt,hbt,NA,110AR@NOG,NA
VNG_RS05715,WP_010902708.1,hbt,hbt,NA,110ND@NOG,NA
VNG_RS05750,WP_010902718.1,hbt,hbt,NA,1105A@NOG,NA
VNG_RS05755,WP_010902728.1,hbt,hbt,I,COG0558@NOG,CDP-alcohol phosphatidyltransferase
VNG_RS06165,WP_010902758.1,hbt,hbt,M,COG0438@NOG,Glycosyl transferases group 1
VNG_RS06185,WP_010902761.1,hbt,hbt,NA,0YM5U@NOG,NA
VNG_RS06380,WP_010902762.1,hbt,hbt,NA,0YGV9@NOG,NA
VNG_RS06385,WP_010902764.1,hbt,hbt,M,COG0463@NOG,Glycosyl transferase family 2
VNG_RS06390,WP_010902782.1,hbt,hbt,F,COG0104@NOG,Plays an important role in the de novo pathway of purine nucleotide biosynthesis
VNG_RS06395,WP_010902783.1,hbt,hbt,S,COG2835@NOG,UPF0434 protein
VNG_RS06405,WP_010902812.1,hbt,hbt,J,COG0099@NOG,"Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits"
VNG_RS13355,WP_010902816.1,hbt,hbt,J,COG1727@NOG,50S ribosomal protein L18e
VNG_RS06540,WP_010902878.1,hbt,hbt,NA,10ZXY@NOG,NA
VNG_RS06550,WP_010902915.1,hbt,hbt,J,COG1601@NOG,eIF-2 functions in the early steps of protein synthesis by forming a ternary complex with GTP and initiator tRNA (By similarity)
VNG_RS06555,WP_010902916.1,hbt,hbt,S,COG1745@NOG,Uncharacterised protein family UPF0058
VNG_RS06560,WP_010902920.1,hbt,hbt,NA,11120@NOG,NA
VNG_RS06565,WP_010902921.1,hbt,hbt,S,129N7@NOG,"Inherit from NOG: Phosphodiesterase, mj0936 family"
VNG_RS06570,WP_010903069.1,hbt,hbt,S,COG5524@NOG,bacteriorhodopsin
VNG_RS06575,WP_010903077.1,hbt,hbt,S,COG1033@NOG,Sterol-sensing domain of SREBP cleavage-activation
VNG_RS06580,WP_010903159.1,hbt,hbt,NA,110F7@NOG,NA
VNG_RS06585,WP_010903203.1,hbt,hbt,NA,0YTZS@NOG,NA
VNG_RS06590,WP_010903205.1,hbt,hbt,O,COG0464@NOG,AAA domain (Cdc48 subfamily)
VNG_RS06595,WP_010903233.1,hbt,hbt,S,COG2106@NOG,Pfam:DUF171
VNG_RS06600,WP_010903234.1,hbt,hbt,J,COG0087@NOG,"One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity)"
VNG_RS06605,WP_010903235.1,hbt,hbt,J,COG0088@NOG,"One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity)"
VNG_RS06610,WP_010903236.1,hbt,hbt,J,COG0089@NOG,Binds to 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome (By similarity)
VNG_RS06615,WP_010903237.1,hbt,hbt,J,COG0090@NOG,"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity"
VNG_RS06620,WP_010903238.1,hbt,hbt,J,COG0185@NOG,Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA (By similarity)
VNG_RS06625,WP_010903239.1,hbt,hbt,J,COG0091@NOG,"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome (By similarity)"
VNG_RS06630,WP_010903240.1,hbt,hbt,J,COG0092@NOG,Binds the lower part of the 30S subunit head (By similarity)
VNG_RS06635,WP_010903241.1,hbt,hbt,J,COG0255@NOG,50S ribosomal protein L29P
VNG_RS06640,WP_010903242.1,hbt,hbt,J,COG1588@NOG,"Part of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends (By similarity)"
VNG_RS06645,WP_010903243.1,hbt,hbt,J,COG0186@NOG,"One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA (By similarity)"
VNG_RS06650,WP_010903244.1,hbt,hbt,J,COG0093@NOG,Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome (By similarity)
VNG_RS06655,WP_010903245.1,hbt,hbt,J,COG0198@NOG,Located at the polypeptide exit tunnel on the outside of the subunit (By similarity)
VNG_RS06660,WP_010903246.1,hbt,hbt,J,COG1471@NOG,30S ribosomal protein S4E
VNG_RS06665,WP_010903247.1,hbt,hbt,J,COG0094@NOG,"This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits"
VNG_RS06670,WP_010903248.1,hbt,hbt,J,COG0199@NOG,"Binds 16S rRNA, required for the assembly of 30S particles (By similarity)"
VNG_RS06720,WP_010903249.1,hbt,hbt,J,COG0096@NOG,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit (By similarity)"
VNG_RS06730,WP_010903250.1,hbt,hbt,J,COG0097@NOG,"This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center"
VNG_RS06735,WP_010903251.1,hbt,hbt,J,COG0468@NOG COG1717@NOG,50S ribosomal protein L32e
VNG_RS06810,WP_010903252.1,hbt,hbt,J,COG2147@NOG,Binds to the 23S rRNA (By similarity)
VNG_RS07095,WP_010903253.1,hbt,hbt,J,COG0256@NOG,"This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance (By similarity)"
VNG_RS07110,WP_010903254.1,hbt,hbt,J,COG0098@NOG,With S4 and S12 plays an important role in translational accuracy (By similarity)
VNG_RS07115,WP_010903255.1,hbt,hbt,J,COG1841@NOG,50S ribosomal protein L30P
VNG_RS07335,WP_010903256.1,hbt,hbt,J,COG0200@NOG,Binds to the 23S rRNA (By similarity)
VNG_RS07650,WP_010903257.1,hbt,hbt,U,COG0201@NOG,"The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)"
VNG_RS07655,WP_010903265.1,hbt,hbt,P,1279I@NOG COG1226@NOG,ion transport 2 domain protein
VNG_RS07660,WP_010903267.1,hbt,hbt,NA,10ZTS@NOG,NA
VNG_RS13370,WP_010903282.1,hbt,hbt,NA,10ZTS@NOG,NA
VNG_RS08100,WP_010903386.1,hbt,hbt,L,101KW@NOG,NurA domain
VNG_RS08105,WP_010903451.1,hbt,hbt,S,COG3430@NOG,Inherit from arCOG: Protein of unknown function (DUF1628)
VNG_RS08560,WP_010903540.1,hbt,hbt,E,COG0174@NOG,glutamine synthetase
VNG_RS08870,WP_010903629.1,hbt,hbt,C,COG3794@NOG,Halocyanin
VNG_RS08950,WP_010903690.1,hbt,hbt,NA,0ZFRM@NOG,NA
VNG_RS08955,WP_010903706.1,hbt,hbt,S,110P6@NOG,Protein of unknown function (DUF2029)
VNG_RS08960,WP_010903707.1,hbt,hbt,C,COG0633@NOG,Ferredoxin
VNG_RS09955,WP_010903708.1,hbt,hbt,E,COG0106@NOG,Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
VNG_RS10400,WP_010903901.1,hbt,hbt,S,COG2078@NOG,AMMECR1 domain protein
VNG_RS10405,WP_010903989.1,hbt,hbt,L,COG1943@NOG,Transposase
VNG_RS10430,WP_010903994.1,hbt,hbt,K,COG0195@NOG,Transcription elongation factor NusA-like protein
VNG_RS10435,WP_010903995.1,hbt,hbt,K,COG0086@NOG,"DNA-directed RNA polymerase, subunit a'"
VNG_RS10440,WP_010903996.1,hbt,hbt,K,COG0086@NOG,"DNA-directed RNA polymerase, subunit a'"
VNG_RS10445,WP_010903997.1,hbt,hbt,K,COG0085@NOG,DNA-directed RNA polymerase subunit b'
VNG_RS11050,WP_010904032.1,hbt,hbt,L,COG0433@NOG,Inherit from COG: Aaa atpase
VNG_RS11075,WP_010904036.1,hbt,hbt,NA,11GG8@NOG,NA
VNG_RS11080,WP_010904046.1,hbt,hbt,NA,0XXT4@NOG,NA
VNG_RS11090,WP_010904053.1,hbt,hbt,NA,0YNY9@NOG,NA
VNG_RS11095,WP_010904054.1,hbt,hbt,NA,0XTGC@NOG,NA
VNG_RS11120,WP_010904055.1,hbt,hbt,P,COG0569@NOG,TRK potassium uptake system protein
VNG_RS13500,WP_010904056.1,hbt,hbt,P,COG2060@NOG,"One of the components of the high-affinity ATP-driven potassium transport (or KDP) system, which catalyzes the hydrolysis of ATP coupled with the exchange of hydrogen and potassium ions (By similarity)"
VNG_RS11165,WP_010904063.1,hbt,hbt,S,COG0618@NOG,phosphoesterase RecJ domain protein
VNG_RS11170,WP_010904071.1,hbt,hbt,K,COG2161@NOG,CopG family transcriptional regulator
VNG_RS11180,WP_010904073.1,hbt,hbt,L,0ZZTP@NOG,Inherit from NOG: Transposase
VNG_RS11215,WP_010904139.1,hbt,hbt,K,COG2161@NOG,CopG domain protein DNA-binding domain protein
VNG_RS11220,WP_010904142.1,hbt,hbt,L,COG3316@NOG,Transposase
VNG_RS13520,WP_010904144.1,hbt,hbt,P,COG0376@NOG,Bifunctional enzyme with both catalase and broad- spectrum peroxidase activity (By similarity)
VNG_RS11240,WP_010904147.1,hbt,hbt,I,COG4670@NOG,CoA transferase having broad substrate specificity for short-chain acyl-CoA thioesters with the activity decreasing when the length of the carboxylic acid chain exceeds four carbons (By similarity)
VNG_RS13525,WP_010904157.1,hbt,hbt,J,COG0018@NOG,Arginyl-tRNA synthetase
VNG_RS11255,WP_010904162.1,hbt,hbt,K,COG1414@NOG,regulator
VNG_RS11535,WP_010904164.1,hbt,hbt,L,COG0419@NOG,Inherit from NOG: Involved in DNA double-strand break repair (DSBR). The Rad50 Mre11 complex possesses single-strand endonuclease activity and ATP-dependent double-strand-specific 3'-5' exonuclease activity. Rad50 provides an ATP-dependent control of Mre11 by unwinding and or repositioning DNA ends into the Mre11 active site (By similarity)
VNG_RS13560,WP_010904167.1,hbt,hbt,NA,10ZRF@NOG,NA
VNG_RS11555,WP_010904188.1,hbt,hbt,S,COG2333@NOG,beta-lactamase domain protein
VNG_RS13565,WP_010904190.1,hbt,hbt,K,111DM@NOG,Transcriptional regulator
VNG_RS11565,WP_010904192.1,hbt,hbt,L,COG0675@NOG,Transposase
VNG_RS11600,WP_010904195.1,hbt,hbt,V,COG1403@NOG,hnh endonuclease
VNG_RS11605,WP_010904198.1,hbt,hbt,L,110XS@NOG COG3385@NOG,transposase (ISH3)
VNG_RS11615,WP_010904200.1,hbt,hbt,K,111D7@NOG,Pfam:SpoVT_AbrB
VNG_RS11620,WP_010904202.1,hbt,hbt,NA,110T0@NOG,NA
VNG_RS11640,WP_010904211.1,hbt,hbt,K,COG2002@NOG,AbrB family transcriptional regulator
VNG_RS11650,WP_010904215.1,hbt,hbt,V,COG2402@NOG,nucleic acid-binding protein contains PIN domain-like region
VNG_RS11660,WP_010904224.1,hbt,hbt,S,COG0384@NOG,Phenazine
VNG_RS11715,WP_010904242.1,hbt,hbt,NA,1108B@NOG,NA
VNG_RS11760,WP_010904243.1,hbt,hbt,N,COG3430@NOG,Protein of unknown function (DUF1628)
VNG_RS11775,WP_012289116.1,hbt,hbt,D,COG0206@NOG,Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)
VNG_RS11785,WP_012289247.1,hbt,hbt,T,COG0784@NOG,response regulator receiver protein
VNG_RS11800,WP_012289261.1,hbt,hbt,F,COG0516@NOG COG0517@NOG,"Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth (By similarity)"
VNG_RS11810,WP_012289276.1,hbt,hbt,NA,COG3388@NOG,NA
VNG_RS13645,WP_012289386.1,hbt,hbt,NA,0Y4YD@NOG,NA
VNG_RS11825,WP_012289388.1,hbt,hbt,J,COG0441@NOG,Threonyl-tRNA synthetase
VNG_RS11840,WP_012289533.1,hbt,hbt,L,COG0675@NOG,Inherit from arCOG: IS1341-type transposase
VNG_RS11845,WP_012289610.1,hbt,hbt,D,COG1192@NOG,Cobyrinic acid ac-diamide synthase
VNG_RS11850,WP_012289640.1,hbt,hbt,F,COG0540@NOG,Aspartate transcarbamylase
VNG_RS11855,WP_012289734.1,hbt,hbt,D,COG1192@NOG,CobQ/CobB/MinD/ParA nucleotide binding domain
VNG_RS11880,WP_012289743.1,hbt,hbt,V,COG1715@NOG,restriction endonuclease
VNG_RS11885,WP_012289746.1,hbt,hbt,S,COG1556@NOG,"Uncharacterised ACR, YkgG family COG1556"
VNG_RS11890,WP_012289747.1,hbt,hbt,C,COG1620@NOG,l-lactate permease
VNG_RS11895,WP_012289748.1,hbt,hbt,V,COG1848@NOG,VapC-type toxin
VNG_RS11915,WP_049892468.1,hbt,hbt,NA,0YM5U@NOG,NA
VNG_RS11950,WP_049892694.1,hbt,hbt,NA,10ZXQ@NOG,NA
VNG_RS11965,WP_049892719.1,hbt,hbt,C,COG1301@NOG,sodium dicarboxylate symporter
VNG_RS13700,WP_049928196.1,hbt,hbt,NA,0YC5Q@NOG,NA
VNG_RS12020,WP_081422761.1,hbt,hbt,K,COG3177@NOG,filamentation induced by cAMP protein fic
HFX_RS00350,WP_004056913.1,hmed,hbt&hvol&hmed,K,COG1405@NOG,Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre- initiation complex (DNA-TBP-TFIIB) (By similarity)
HFX_RS00445,WP_004057217.1,hmed,hbt&hvol&hmed,L,COG1474@NOG,orc1 cdc6 family replication initiation protein
HFX_RS00450,WP_004059481.1,hmed,hbt&hvol&hmed,Q,COG0500@NOG,Methyltransferase type 11
HFX_RS00455,WP_004059659.1,hmed,hbt&hvol&hmed,T,COG1520@NOG,Pyrrolo-quinoline quinone
HFX_RS00855,WP_004059907.1,hmed,hbt&hvol&hmed,E,COG0147@NOG,anthranilate synthase component I
HFX_RS00860,WP_004059909.1,hmed,hbt&hvol&hmed,E,COG0135@NOG,N-(5'phosphoribosyl)anthranilate isomerase
HFX_RS00875,WP_004059911.1,hmed,hbt&hvol&hmed,E,COG0547@NOG,anthranilate phosphoribosyltransferase (EC 2.4.2.18)
HFX_RS01050,WP_014732396.1,hmed,hbt&hvol&hmed,L,COG0582@NOG,Integrase
HFX_RS01600,WP_004056114.1,hmed,hbt&hmed,H,COG3540@NOG,PhoD-like phosphatase
HFX_RS01700,WP_004056227.1,hmed,hbt&hmed,M,COG1361@NOG,Inherit from arCOG: domain protein
HFX_RS01705,WP_004056704.1,hmed,hbt&hmed,K,COG1695@NOG,PadR family
HFX_RS02250,WP_004057677.1,hmed,hbt&hmed,NA,0YSDR@NOG,NA
HFX_RS02255,WP_004057690.1,hmed,hbt&hmed,S,0YQVI@NOG,Pfam:TRF2
HFX_RS02495,WP_004057907.1,hmed,hbt&hmed,K,COG1278@NOG,cold-shock DNA-binding domain protein
HFX_RS02500,WP_004059314.1,hmed,hbt&hmed,G,COG0477@NOG,major facilitator superfamily
HFX_RS02520,WP_004060423.1,hmed,hbt&hmed,S,COG3217@NOG,MOSC domain containing protein
HFX_RS02535,WP_004060998.1,hmed,hbt&hmed,K,COG1695@NOG,Transcriptional regulator
HFX_RS02540,WP_004061007.1,hmed,hbt&hmed,K,COG2865@NOG,Transcriptional regulator
HFX_RS02545,WP_004061044.1,hmed,hbt&hmed,O,COG0071@NOG,heat shock protease protein
HFX_RS02550,WP_014732347.1,hmed,hbt&hmed,O,COG0071@NOG,GvpH
HFX_RS02740,WP_004056735.1,hmed,hvol&hmed,S,COG5485@NOG,SnoaL-like polyketide cyclase
HFX_RS02745,WP_004056736.1,hmed,hvol&hmed,P,11HND@NOG,Ferrichrome-binding protein
HFX_RS02750,WP_004057391.1,hmed,hvol&hmed,Q,0ZWTH@NOG,Met-10+ like-protein
HFX_RS02755,WP_004057818.1,hmed,hvol&hmed,T,0Z77K@NOG,Inherit from NOG: Histidine kinase
HFX_RS02760,WP_004059116.1,hmed,hvol&hmed,K,COG3413@NOG,Bacterio-opsin activator HTH domain protein
HFX_RS02830,WP_004059234.1,hmed,hvol&hmed,K,COG3413@NOG,bacterio-opsin activator HTH domain protein
HFX_RS02835,WP_004059584.1,hmed,hvol&hmed,P,11HND@NOG,Ferrichrome-binding protein
HFX_RS02845,WP_004059823.1,hmed,hvol&hmed,T,COG3413@NOG,PAS PAC sensor protein
HFX_RS02865,WP_004059913.1,hmed,hvol&hmed,S,111CV@NOG,Uncharacterized protein conserved in bacteria (DUF2062)
HFX_RS02870,WP_004060332.1,hmed,hvol&hmed,T,0Z77K@NOG,Inherit from NOG: Histidine kinase
HFX_RS02875,WP_004060631.1,hmed,hvol&hmed,S,121J4@NOG,DoxX family
HFX_RS02880,WP_004060823.1,hmed,hvol&hmed,T,0Z77K@NOG,Inherit from NOG: Histidine kinase
HFX_RS02885,WP_004572414.1,hmed,hvol&hmed,S,COG5485@NOG,SnoaL-like polyketide cyclase
HFX_RS02890,WP_014732321.1,hmed,hvol&hmed,L,COG1525@NOG,nuclease-like protein
HFX_RS02895,WP_014732346.1,hmed,hvol&hmed,T,COG0467@NOG,GvpD gas vesicle
HFX_RS04055,WP_014732423.1,hmed,hvol&hmed,P,11HND@NOG,ABC-type Fe3 -hydroxamate transport system periplasmic component-like protein
HFX_RS04060,WP_014732665.1,hmed,hvol&hmed,K,COG3413@NOG,Bacterio-opsin activator HTH domain protein
HFX_RS04835,WP_014732814.1,hmed,hvol&hmed,T,0Z77K@NOG,Inherit from NOG: Histidine kinase
HFX_RS04840,WP_049917571.1,hmed,hvol&hmed,P,11HND@NOG,Ferrichrome-binding protein
HFX_RS04845,WP_004056209.1,hmed,hmed,S,COG2079@NOG,MmgE/PrpD family
HFX_RS04850,WP_004056211.1,hmed,hmed,H,COG1809@NOG,(2R)-phospho-3-sulfolactate synthase (ComA)
HFX_RS05100,WP_004056225.1,hmed,hmed,V,COG1136@NOG,ABC transporter
HFX_RS05105,WP_004056229.1,hmed,hmed,K,11GX7@NOG,Inherit from arCOG: Thrombospondin type 3 repeat-containing protein
HFX_RS05110,WP_004056305.1,hmed,hmed,T,COG0642@NOG,Histidine kinase
HFX_RS05330,WP_004056315.1,hmed,hmed,Q,COG4716@NOG,Streptococcal 67 kDa myosin-cross-reactive antigen like family
HFX_RS06135,WP_004056367.1,hmed,hmed,I,COG4221@NOG,KR domain
HFX_RS06440,WP_004056368.1,hmed,hmed,H,COG0502@NOG,Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism (By similarity)
HFX_RS06445,WP_004056369.1,hmed,hmed,NA,0ZC0B@NOG,NA
HFX_RS06975,WP_004056370.1,hmed,hmed,H,COG0156@NOG,8-amino-7-oxononanoate synthase (EC 2.3.1.47)
HFX_RS07110,WP_004056371.1,hmed,hmed,H,COG0132@NOG,"Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring (By similarity)"
HFX_RS07540,WP_004056430.1,hmed,hmed,V,COG1131@NOG,ABC transporter
HFX_RS07545,WP_004056431.1,hmed,hmed,NA,11NF1@NOG,NA
